row_label_raw,row_label_full,Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn:- Chứng khoán đầu tư giữ đến ngày đáo hạn khác – gộp,31/12/2017 > Giá trị ghi số Triệu VND > 636.789,31/12/2017 > Giá trị hợp lý Triệu VND > (*),31/12/2016 > Giá trị ghi số Triệu VND > 715.408,31/12/2016 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2017 > Giá trị ghi số Triệu VND > 636.789,numeric__31/12/2017 > Giá trị hợp lý Triệu VND > (*),numeric__31/12/2016 > Giá trị ghi số Triệu VND > 715.408,numeric__31/12/2016 > Giá trị hợp lý Triệu VND > (*)
Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN- Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN- Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN- Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,2.251.582,2.251.582,901.778,901.778,2251582.0,2251582.0,901778.0,901778.0
Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN- Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN- Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Được phân loại là các khoản cho vay và phải thu:- Tiền gửi tại NHNNVN- Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,4.163.859,(*),3.090.239,(*),4163859.0,,3090239.0,
- Cho vay khách hàng – gộp,- Cho vay khách hàng – gộp,- Cho vay khách hàng – gộp,24.685.503,(*),19.766.439,(*),24685503.0,,19766439.0,
"- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu",1.542.115,(*),1.274.730,(*),1542115.0,,1274730.0,
- Các khoản phải thu,- Các khoản phải thu,- Các khoản phải thu,107.377,(*),127.060,(*),107377.0,,127060.0,
Được phân loại là tài sản tài chính sẵn sàng để bán:- Chứng khoán vốn sẵn sàng để bán – gộp,Được phân loại là tài sản tài chính sẵn sàng để bán:- Chứng khoán vốn sẵn sàng để bán – gộp,Được phân loại là tài sản tài chính sẵn sàng để bán:- Chứng khoán vốn sẵn sàng để bán – gộp,522.196,(*),524.750,(*),522196.0,,524750.0,
- Chứng khoán nợ sẵn sàng để bán – gộp,- Chứng khoán nợ sẵn sàng để bán – gộp,- Chứng khoán nợ sẵn sàng để bán – gộp,1.152.286,(*),1.811.165,(*),1152286.0,,1811165.0,
▪ Có giá niêm yết▪ Chưa có giá niêm yết,▪ Có giá niêm yết▪ Chưa có giá niêm yết,▪ Có giá niêm yết▪ Chưa có giá niêm yết,866.856,926.056,208.459,225.213,866856.0,926056.0,208459.0,225213.0
▪ Có giá niêm yết▪ Chưa có giá niêm yết,▪ Có giá niêm yết▪ Chưa có giá niêm yết,▪ Có giá niêm yết▪ Chưa có giá niêm yết,285.430,(*),1.602.706,(*),285430.0,,1602706.0,
"- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn","- Góp vốn, đầu tư dài hạn",14.521,(*),14.521,(*),14521.0,,14521.0,
Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bố:- Các khoản nợ NHNNVN- Tiền gửi và vay các tổ chức tín dụng khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bố:- Các khoản nợ NHNNVN- Tiền gửi và vay các tổ chức tín dụng khác,Được phân loại là nợ phải trả tài chính được xác định theo giá trị phân bố:- Các khoản nợ NHNNVN- Tiền gửi và vay các tổ chức tín dụng khác,(7.028.038),(*),(200.928),(*),-7028038.0,,-200928.0,
- Tiền gửi của khách hàng,- Tiền gửi của khách hàng,- Tiền gửi của khách hàng,(26.124.192),(*),(3.477.475),(*),-26124192.0,,-3477475.0,
"- Các khoản lãi, phí phải trả","- Các khoản lãi, phí phải trả","- Các khoản lãi, phí phải trả",(480.931),(*),(22.889.160),(*),-480931.0,,-22889160.0,
- Các khoản phải trả và công nợ khác,- Các khoản phải trả và công nợ khác,- Các khoản phải trả và công nợ khác,(118.937),(*),(401.935),(*),-118937.0,,-401935.0,
,,,,(*),(88.151),(*),,,-88151.0,
