row_label_raw,row_label_full,2017,2017_1,Miền Bắc Triệu VND,Miền Trung Triệu VND,Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__2017_1,numeric__Miền Bắc Triệu VND,numeric__Miền Trung Triệu VND,numeric__Miền Nam Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
I.,I.,I.,Doanh thu,341.080,573.304,4.710.884,(2.578.115),3.047.153,,341080.0,573304.0,4710884.0,-2578115.0,3047153.0
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự từ:Khách hàng bên ngoàiNội bộ,338.712,562.097,4.586.009,(2.578.115),2.908.703,,338712.0,562097.0,4586009.0,-2578115.0,2908703.0
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự từ:Khách hàng bên ngoàiNội bộ,131.079,335.616,2.442.008,-,2.908.703,,131079.0,335616.0,2442008.0,,2908703.0
1.,1.,1.,Thu nhập lãi và các khoản thu nhập tương tự từ:Khách hàng bên ngoàiNội bộ,207.633,226.481,2.144.001,(2.578.115),-,,207633.0,226481.0,2144001.0,-2578115.0,
2.,2.,2.,Thu nhập từ hoạt động dịch vụ,1.334,2.231,56.492,-,60.057,,1334.0,2231.0,56492.0,,60057.0
3.,3.,3.,Doanh thu từ hoạt động kinh doanh khác,1.034,8.976,68.383,-,78.393,,1034.0,8976.0,68383.0,,78393.0
II.,II.,II.,Chi phí,(317.527),(492.495),(4.494.295),2.578.115,(2.726.202),,-317527.0,-492495.0,-4494295.0,2578115.0,-2726202.0
1.,1.,1.,Chi phí lãi và các chi phí tương tự từ:Khách hàng bên ngoàiNội bộ,(271.737),(404.397),(3.769.052),2.578.115,(1.867.071),,-271737.0,-404397.0,-3769052.0,2578115.0,-1867071.0
1.,1.,1.,Chi phí lãi và các chi phí tương tự từ:Khách hàng bên ngoàiNội bộ,(196.621),(245.605),(1.424.845),-,(1.867.071),,-196621.0,-245605.0,-1424845.0,,-1867071.0
1.,1.,1.,Chi phí lãi và các chi phí tương tự từ:Khách hàng bên ngoàiNội bộ,(75.116),(158.792),(2.344.207),2.578.115,-,,-75116.0,-158792.0,-2344207.0,2578115.0,
2.,2.,2.,Chi phí khấu hao tài sản cố định,(1.156),(5.775),(57.724),,(64.655),,-1156.0,-5775.0,-57724.0,,-64655.0
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(44.634),(82.323),(667.519),,(794.476),,-44634.0,-82323.0,-667519.0,,-794476.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,23.553,80.809,216.589,-,320.951,,23553.0,80809.0,216589.0,,320951.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(8.473),(9.606),(50.678),-,(68.757),,-8473.0,-9606.0,-50678.0,,-68757.0
Kết quả kinh doanh bộ phận (trước thuế TNDN),Kết quả kinh doanh bộ phận (trước thuế TNDN),Kết quả kinh doanh bộ phận (trước thuế TNDN),Kết quả kinh doanh bộ phận (trước thuế TNDN),15.080,71.203,165.911,-,252.194,,15080.0,71203.0,165911.0,,252194.0
31/12/2017,31/12/2017,31/12/2017,31/12/2017,Miền Bắc Triệu VND,Miền Trung Triệu VND,Miền Nam Triệu VND,Loại trừ TriệuVND,Tổng Triệu VND,,,,,,
I.,31/12/2017 > I.,I.,Tài sản,1.346.206,3.608.743,32.371.856,-,37.326.805,,1346206.0,3608743.0,32371856.0,,37326805.0
1.,31/12/2017 > 1.,1.,Tiền mặt,39.153,62.162,331.876,-,433.191,,39153.0,62162.0,331876.0,,433191.0
2.,31/12/2017 > 2.,2.,Tài sản cố định và bất động sản đầu tư,4.487,254.883,1.284.765,-,1.544.135,,4487.0,254883.0,1284765.0,,1544135.0
3.,31/12/2017 > 3.,3.,Tài sản khác,1.302.566,3.291.698,30.755.215,-,35.349.479,,1302566.0,3291698.0,30755215.0,,35349479.0
II.,31/12/2017 > II.,II.,Nợ phải trả,3.095.537,3.717.153,26.962.518,-,33.775.208,,3095537.0,3717153.0,26962518.0,,33775208.0
1.,31/12/2017 > 1.,1.,Nợ phải trả khách hàng bên ngoài,3.091.668,3.712.893,26.828.600,-,33.633.161,,3091668.0,3712893.0,26828600.0,,33633161.0
2.,31/12/2017 > 2.,2.,Nợ phải trả khác,3.869,4.260,133.918,-,142.047,,3869.0,4260.0,133918.0,,142047.0
