row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Tổng dư nợ tiền gửi và cho vay – gộpTriệu VND,Tổng tiền gửi và tiền vayTriệu VND,Các cam kết tín dụng – gộpTriệu VND,Chứng khoán đầu tư – gộpTriệu VND,numeric__Tổng dư nợ tiền gửi và cho vay – gộpTriệu VND,numeric__Tổng tiền gửi và tiền vayTriệu VND,numeric__Các cam kết tín dụng – gộpTriệu VND,numeric__Chứng khoán đầu tư – gộpTriệu VND
Trong nước,Trong nước,Trong nước,31.100.944,33.152.230,87.143,2.311.271,31100944.0,33152230.0,87143.0,2311271.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tổng dư nợ tiền gửi và cho vay – gộpTriệu VND,Tổng tiền gửi và tiền vayTriệu VND,Các cam kết tín dụng – gộpTriệu VND,Chứng khoán đầu tư – gộpTriệu VND,,,,
Trong nước,Tại ngày 31 tháng 12 năm 2016 > Trong nước,Trong nước,23.758.456,26.567.563,55.264,3.051.323,23758456.0,26567563.0,55264.0,3051323.0
