row_label_raw,row_label_full,2016,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,645.328,52.994,3.382,701.704,645328.0,52994.0,3382.0,701704.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.889,62,1.951,,1889.0,62.0,1951.0
Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14(i)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14(i)),Đầu tư xây dựng cơ bản hoàn thành (Thuyết minh 14(i)),77.080,813,755,78.648,77080.0,813.0,755.0,78648.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(10.736),-,-,(10.736),-10736.0,,,-10736.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(1.945),1.945,-,,-1945.0,1945.0,
Phân loại lại sang tài sản Có khác,Nguyên giá > Phân loại lại sang tài sản Có khác,Phân loại lại sang tài sản Có khác,(5.929),-,-,(5.929),-5929.0,,,-5929.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,705.743,53.751,6.144,765.638,705743.0,53751.0,6144.0,765638.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,1.638,23.825,1.541,27.004,1638.0,23825.0,1541.0,27004.0
Khẩu hao trong năm,Giá trị hao mòn lũy kế > Khẩu hao trong năm,Khẩu hao trong năm,424,6.645,1.091,8.160,424.0,6645.0,1091.0,8160.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,(227),227,-,,-227.0,227.0,
Phân loại lại sang tài sản Có khác,Giá trị hao mòn lũy kế > Phân loại lại sang tài sản Có khác,Phân loại lại sang tài sản Có khác,(46),-,-,(46),-46.0,,,-46.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,2.016,30.243,2.859,35.118,2016.0,30243.0,2859.0,35118.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,643.690,29.169,1.841,674.700,643690.0,29169.0,1841.0,674700.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,703.727,23.508,3.285,730.520,703727.0,23508.0,3285.0,730520.0
