row_label_raw,row_label_full,2017,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,"Thiết bị, dụngcụ quản lýTriệu VND",Tài sản cố địnhhữu hình khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,"numeric__Thiết bị, dụngcụ quản lýTriệu VND",numeric__Tài sản cố địnhhữu hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,448.910,143.060,92.350,11.186,9.823,705.329,448910.0,143060.0,92350.0,11186.0,9823.0,705329.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,922,860,-,-,32,1.814,922.0,860.0,,,32.0,1814.0
Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14(i)),Nguyên giá > Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14(i)),Đầu tư xây dựng cơ bản hoàn thành(Thuyết minh 14(i)),129.119,21.055,1.578,-,-,151.752,129119.0,21055.0,1578.0,,,151752.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(934),(519),-,(239),-,(1.692),-934.0,-519.0,,-239.0,,-1692.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,578.017,164.456,93.928,10.947,9.855,857.203,578017.0,164456.0,93928.0,10947.0,9855.0,857203.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,30.334,43.411,35.755,6.430,4.440,120.370,30334.0,43411.0,35755.0,6430.0,4440.0,120370.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,21.085,15.777,9.502,1.259,1.887,49.510,21085.0,15777.0,9502.0,1259.0,1887.0,49510.0
Thanh lý,Giá trị hao mòn luỹ kế > Thanh lý,Thanh lý,(934),(519),-,(239),-,(1.692),-934.0,-519.0,,-239.0,,-1692.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,50.485,58.669,45.257,7.450,6.327,168.188,50485.0,58669.0,45257.0,7450.0,6327.0,168188.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,418.576,99.649,56.595,4.756,5.383,584.959,418576.0,99649.0,56595.0,4756.0,5383.0,584959.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,527.532,105.787,48.671,3.497,3.528,689.015,527532.0,105787.0,48671.0,3497.0,3528.0,689015.0
