row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Quá hạnTriệu VND,Không chịu lãiTriệu VND,Dưới 1 thángTriệu VND,Từ trên 1 đến 3 thángTriệu VND,Từ trên 3 đến 6 thángTriệu VND,Từ trên 6 đến 12 thángTriệu VND,Từ trên 1 đến 5 nămTriệu VND,Trên 5 nămTriệu VND,TổngTriệu VND,numeric__Quá hạnTriệu VND,numeric__Không chịu lãiTriệu VND,numeric__Dưới 1 thángTriệu VND,numeric__Từ trên 1 đến 3 thángTriệu VND,numeric__Từ trên 3 đến 6 thángTriệu VND,numeric__Từ trên 6 đến 12 thángTriệu VND,numeric__Từ trên 1 đến 5 nămTriệu VND,numeric__Trên 5 nămTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,-,299.046,-,-,-,-,-,-,299.046,,299046.0,,,,,,,299046.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,454.877,446.901,-,-,-,-,-,901.778,,454877.0,446901.0,,,,,,901778.0
Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,1.890.239,1.200.000,-,-,-,-,3.090.239,,,1890239.0,1200000.0,,,,,3090239.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,343.936,-,233.893,201.191,877.897,18.109.522,-,-,19.766.439,343936.0,,233893.0,201191.0,877897.0,18109522.0,,,19766439.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,920.214,-,-,-,-,2.131.109,-,3.051.323,,920214.0,,,,,2131109.0,,3051323.0
"Gớp vốn, đầu tư dài hạn","Tài sản > Gớp vốn, đầu tư dài hạn","Gớp vốn, đầu tư dài hạn",-,14.521,-,-,-,-,-,-,14.521,,14521.0,,,,,,,14521.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.315.479,-,-,-,-,-,-,1.315.479,,1315479.0,,,,,,,1315479.0
Tài sản Có khác,Tài sản > Tài sản Có khác,Tài sản Có khác,-,2.310.172,-,-,-,-,-,-,2.310.172,,2310172.0,,,,,,,2310172.0
,,,343.936,5.314.309,2.571.033,1.401.191,877.897,18.109.522,2.131.109,-,30.748.997,343936.0,5314309.0,2571033.0,1401191.0,877897.0,18109522.0,2131109.0,,30748997.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,-,-,200.928,-,-,-,-,-,200.928,,,200928.0,,,,,,200928.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,-,-,1.719.852,1.650.937,17.333,89.353,-,-,3.477.475,,,1719852.0,1650937.0,17333.0,89353.0,,,3477475.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,6.571.396,4.330.189,6.473.841,5.115.558,398.176,-,22.889.160,,,6571396.0,4330189.0,6473841.0,5115558.0,398176.0,,22889160.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,519.559,-,-,-,-,-,-,519.559,,519559.0,,,,,,,519559.0
,,,-,519.559,8.492.176,5.981.126,6.491.174,5.204.911,398.176,-,27.087.122,,519559.0,8492176.0,5981126.0,6491174.0,5204911.0,398176.0,,27087122.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,343.936,4.794.750,(5.921.143),(4.579.935),(5.613.277),12.904.611,1.732.933,-,3.661.875,343936.0,4794750.0,-5921143.0,-4579935.0,-5613277.0,12904611.0,1732933.0,,3661875.0
