row_label_raw,row_label_full,Giao dịch phát sinh trong năm,2017Triệu VND,2016Triệu VND,numeric__2017Triệu VND,numeric__2016Triệu VND
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,,,
Tiền gửi,Thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,113.041,45.743,113041.0,45743.0
Chi phí lãi tiền gửi,Thành viên Hội đồng Quản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,42,21,42.0,21.0
Thù lao,Thành viên Hội đồng Quản trị > Thù lao,Thù lao,7.364,6.757,7364.0,6757.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,,,,
Tiền gửi,Thành viên Ban Tổng Giám đốc > Tiền gửi,Tiền gửi,36.862,7.559,36862.0,7559.0
Chi phí lãi tiền gửi,Thành viên Ban Tổng Giám đốc > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,72,133,72.0,133.0
Tiền lương và thường,Thành viên Ban Tổng Giám đốc > Tiền lương và thường,Tiền lương và thường,9.771,9.641,9771.0,9641.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,,,
Tiền gửi,Thành viên Ban Kiểm soát > Tiền gửi,Tiền gửi,10.733,399,10733.0,399.0
Chi phí lãi tiền gửi,Thành viên Ban Kiểm soát > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,13,34,13.0,34.0
Thù lao,Thành viên Ban Kiểm soát > Thù lao,Thù lao,2.327,2.139,2327.0,2139.0
Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,2.422.064,1.704.164,2422064.0,1704164.0
Chi phí lãi tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,6.822,5.416,6822.0,5416.0
Thu nhập cho thuê kho,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Thu nhập cho thuê kho,Thu nhập cho thuê kho,4.965,2.905,4965.0,2905.0
Nhận tiền cọc cho thuê kho,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Nhận tiền cọc cho thuê kho,Nhận tiền cọc cho thuê kho,280,680,280.0,680.0
Chi phí xây dựng xưởng,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Chi phí xây dựng xưởng,Chi phí xây dựng xưởng,21.596,47.199,21596.0,47199.0
Thu nhập cân xe,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Thu nhập cân xe,Thu nhập cân xe,2,-,2.0,
Thu nhập khác,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Thu nhập khác,Thu nhập khác,778,547,778.0,547.0
Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc > Tiền gửi,Tiền gửi,91.084,34.107,91084.0,34107.0
Chi phí lãi tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Ban Tổng Giám đốc > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,1.067,1.151,1067.0,1151.0
Các công ty và cá nhân có liên quan đến Ban Kiểm soát,Các công ty và cá nhân có liên quan đến Ban Kiểm soát,Các công ty và cá nhân có liên quan đến Ban Kiểm soát,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến Ban Kiểm soát > Tiền gửi,Tiền gửi,10.282,5.880,10282.0,5880.0
Chi phí lãi tiền gửi,Các công ty và cá nhân có liên quan đến Ban Kiểm soát > Chi phí lãi tiền gửi,Chi phí lãi tiền gửi,133,102,133.0,102.0
