row_label_raw,row_label_full,STT,Chỉ tiêu,Lũy kế đến tháng 12/2016,Lũy kế đến tháng 12/2017,Tăng/giảm (+/-) tháng 12/2017 so với cùng kỳ > Số dư,Tăng/giảm (+/-) tháng 12/2017 so với cùng kỳ > Tỷ lệ (%),numeric__Chỉ tiêu,numeric__Lũy kế đến tháng 12/2016,numeric__Lũy kế đến tháng 12/2017,numeric__Tăng/giảm (+/-) tháng 12/2017 so với cùng kỳ > Số dư,numeric__Tăng/giảm (+/-) tháng 12/2017 so với cùng kỳ > Tỷ lệ (%)
,,,Tổng thu nhập,925.345,1.124.327,198.982,"21,50",,925345.0,1124327.0,198982.0,21.5
1,1,1,Thu nhập lãi thuần,785.937,1.038.805,252.868,"32,17",,785937.0,1038805.0,252868.0,32.17
2,2,2,Lãi/ lỗ thuần từ hoạt động dịch vụ,24.981,48.102,23.121,"92,55",,24981.0,48102.0,23121.0,92.55
3,3,3,Lãi/ lỗ thuần từ hoạt động kinh doanh ngoại hối,6.483,3.633,(2.850),"(43,96)",,6483.0,3633.0,-2850.0,-43.96
4,4,4,Lãi/ lỗ thuần từ mua bán chứng khoán kinh doanh,-,-,-,-,,,,,
5,4 > 5,5,Lãi/ lỗ thuần từ mua bán chứng khoán đầu tư,66.112,(4.133),(70.245),"(106,25)",,66112.0,-4133.0,-70245.0,-106.25
6,4 > 6,6,Lãi/ lỗ thuần từ hoạt động khác,34.658,37.475,2.817,"8,13",,34658.0,37475.0,2817.0,8.13
7,4 > 7,7,"Thu nhập từ góp vốn, mua cổ phần",7.174,445,(6.729),"(93,80)",,7174.0,445.0,-6729.0,-93.8
II,4 > II,II,Tổng chi phí,773.709,872.133,98.424,"12,72",,773709.0,872133.0,98424.0,12.72
1,4 > 1,1,Chi phí hoạt động,681.680,806.203,124.523,"18,27",,681680.0,806203.0,124523.0,18.27
2,4 > 2,2,Chi phí dự phòng rủi ro tín dụng,92.029,65.930,(26.099),"(28,36)",,92029.0,65930.0,-26099.0,-28.36
III,4 > III,III,Tổng lợi nhuận trước thuế,151.636,252.194,100.558,"66,32",,151636.0,252194.0,100558.0,66.32
IV,4 > IV,IV,Chi phí thuế TNDN,30.646,50.501,19.855,"64,79",,30646.0,50501.0,19855.0,64.79
V,4 > V,V,Lợi nhuận sau thuế,120.990,201.693,80.703,"66,70",,120990.0,201693.0,80703.0,66.7
