row_label_raw,row_label_full,Số dư cuối năm,31/12/2017Triệu VND,31/12/2016Triệu VND,numeric__31/12/2017Triệu VND,numeric__31/12/2016Triệu VND
Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,Thành viên Hội đồng Quản trị,,,,
Tiền gửi,Thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,826,199,826.0,199.0
Lãi phải trả,Thành viên Hội đồng Quản trị > Lãi phải trả,Lãi phải trả,2,4,2.0,4.0
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,,,,
Tiền gửi,Thành viên Ban Tổng Giám đốc > Tiền gửi,Tiền gửi,1.674,710,1674.0,710.0
Lãi phải trả,Thành viên Ban Tổng Giám đốc > Lãi phải trả,Lãi phải trả,40,10,40.0,10.0
Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,Thành viên Ban Kiểm soát,,,,
Tiền gửi,Thành viên Ban Kiểm soát > Tiền gửi,Tiền gửi,328,345,328.0,345.0
Lãi phải trả,Thành viên Ban Kiểm soát > Lãi phải trả,Lãi phải trả,-,1,,1.0
Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Tiền gửi,Tiền gửi,185.241,109.740,185241.0,109740.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Lãi phải trả,Lãi phải trả,193,2.369,193.0,2369.0
Phải thu tiền cho thuê văn phòng,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Phải thu tiền cho thuê văn phòng,Phải thu tiền cho thuê văn phòng,2.046,51,2046.0,51.0
Phải trả tiền cọc cho thuê văn phòng,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Phải trả tiền cọc cho thuê văn phòng,Phải trả tiền cọc cho thuê văn phòng,960,680,960.0,680.0
Phải trả chi phí xây dựng,Các công ty và cá nhân có liên quan đến Thành viên Hội đồng Quản trị > Phải trả chi phí xây dựng,Phải trả chi phí xây dựng,-,18.668,,18668.0
Các công ty và cá nhân có liên quan đến Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến Ban Tổng Giám đốc,Các công ty và cá nhân có liên quan đến Ban Tổng Giám đốc,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến Ban Tổng Giám đốc > Tiền gửi,Tiền gửi,20.002,12.196,20002.0,12196.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến Ban Tổng Giám đốc > Lãi phải trả,Lãi phải trả,449,199,449.0,199.0
Các công ty và cá nhân có liên quan đến Ban Kiểm soát,Các công ty và cá nhân có liên quan đến Ban Kiểm soát,Các công ty và cá nhân có liên quan đến Ban Kiểm soát,,,,
Tiền gửi,Các công ty và cá nhân có liên quan đến Ban Kiểm soát > Tiền gửi,Tiền gửi,1.830,1.638,1830.0,1638.0
Lãi phải trả,Các công ty và cá nhân có liên quan đến Ban Kiểm soát > Lãi phải trả,Lãi phải trả,65,48,65.0,48.0
