row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2016,Có tài sảnbảo đảmTriệu VND,Không có tài sảnbảo đảmTriệu VND,TổngTriệu VND,numeric__Có tài sảnbảo đảmTriệu VND,numeric__Không có tài sảnbảo đảmTriệu VND,numeric__TổngTriệu VND
Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,Các khoản cho vay và phải thu,,,,,,
Tiền gửi tại NHNNVN,Các khoản cho vay và phải thu > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,901.778,901.778,,901778.0,901778.0
Tiền gửi tại các tổ chức tín dụng khác – gộp (i),Các khoản cho vay và phải thu > Tiền gửi tại các tổ chức tín dụng khác – gộp (i),Tiền gửi tại các tổ chức tín dụng khác – gộp (i),-,3.090.239,3.090.239,,3090239.0,3090239.0
Cho vay khách hàng – gộp (ii),Các khoản cho vay và phải thu > Cho vay khách hàng – gộp (ii),Cho vay khách hàng – gộp (ii),19.100.709,321.794,19.422.503,19100709.0,321794.0,19422503.0
"Các khoản lãi, phí phải thu","Các khoản cho vay và phải thu > Các khoản lãi, phí phải thu","Các khoản lãi, phí phải thu",-,1.274.730,1.274.730,,1274730.0,1274730.0
Các tài sản tài chính khác,Các khoản cho vay và phải thu > Các tài sản tài chính khác,Các tài sản tài chính khác,-,127.060,127.060,,127060.0,127060.0
,,,19.100.709,5.715.601,24.816.310,19100709.0,5715601.0,24816310.0
Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,Tài sản tài chính sẵn sàng để bán,,,,,,
Chứng khoán nợ sẵn sàng để bán (iii),Tài sản tài chính sẵn sàng để bán > Chứng khoán nợ sẵn sàng để bán (iii),Chứng khoán nợ sẵn sàng để bán (iii),-,1.811.165,1.811.165,,1811165.0,1811165.0
Các khoản đầu tư giữ đến ngày đáo hạn,Các khoản đầu tư giữ đến ngày đáo hạn,Các khoản đầu tư giữ đến ngày đáo hạn,,,,,,
Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Các khoản đầu tư giữ đến ngày đáo hạn > Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,Chứng khoán đầu tư giữ đến ngày đáo hạn – gộp,-,319.944,319.944,,319944.0,319944.0
Các cam kết ngoại bảng,Các cam kết ngoại bảng,Các cam kết ngoại bảng,,,,,,
Cam kết trong nghiệp vụ L/C – gộp,Các cam kết ngoại bảng > Cam kết trong nghiệp vụ L/C – gộp,Cam kết trong nghiệp vụ L/C – gộp,20.982,-,20.982,20982.0,,20982.0
Cam kết khác – gộp,Các cam kết ngoại bảng > Cam kết khác – gộp,Cam kết khác – gộp,2.413,31.869,34.282,2413.0,31869.0,34282.0
,,,23.395,31.869,55.264,23395.0,31869.0,55264.0
,,,19.124.104,7.878.579,27.002.683,19124104.0,7878579.0,27002683.0
