row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2017 Triệu VND,31/12/2016 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2017 Triệu VND,numeric__31/12/2016 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,16,-,200.928,,16.0,,200928.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,7.028.038,3.477.475,,17.0,7028038.0,3477475.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,6.863.405,3.010.758,,,6863405.0,3010758.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,164.633,466.717,,,164633.0,466717.0
III,B > III,III,Tiền gửi của khách hàng,18,26.124.192,22.889.160,,18.0,26124192.0,22889160.0
VII,B > VII,VII,Các khoản nợ khác,,622.978,519.559,,,622978.0,519559.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,480.931,401.935,,,480931.0,401935.0
3,B > 3,3,Các khoản phải trả và công nợ khác,19,142.047,117.624,,19.0,142047.0,117624.0
,,,TỔNG NỘ PHẢI TRẢ,,33.775.208,27.087.122,,,33775208.0,27087122.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,20,3.551.597,3.363.886,,20.0,3551597.0,3363886.0
1,B > 1,1,Vốn,,2.965.800,2.965.800,,,2965800.0,2965800.0
a,B > a,a,Vốn điều lệ,,3.000.000,3.000.000,,,3000000.0,3000000.0
d,B > d,d,Cổ phiếu quỹ,,(34.200),(34.200),,,-34200.0,-34200.0
2,B > 2,2,Các quỹ,,285.244,267.096,,,285244.0,267096.0
5,B > 5,5,Lợi nhuận chưa phân phối,,300.553,130.990,,,300553.0,130990.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,3.551.597,3.363.886,,,3551597.0,3363886.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,37.326.805,30.451.008,,,37326805.0,30451008.0
