row_label_raw,row_label_full,col_0,Vốn điều lệTriệu VND,Cổ phiếuquỹTriệu VND,Quỹ dự trữbổ sungvốn điều lệTriệu VND,Quỹ dự phòngtài chínhTriệu VND,Các quỹ khácTriệu VND,Lợi nhuậnchưa phânphốiTriệu VND,TổngTriệu VND,numeric__Vốn điều lệTriệu VND,numeric__Cổ phiếuquỹTriệu VND,numeric__Quỹ dự trữbổ sungvốn điều lệTriệu VND,numeric__Quỹ dự phòngtài chínhTriệu VND,numeric__Các quỹ khácTriệu VND,numeric__Lợi nhuậnchưa phânphốiTriệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,3.000.000,(34.200),77.700,164.609,3,165.235,3.373.347,3000000.0,-34200.0,77700.0,164609.0,3.0,165235.0,3373347.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,120.990,120.990,,,,,,120990.0,120990.0
Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,-,-,8.262,16.522,-,(24.784),-,,,8262.0,16522.0,,-24784.0,
Chia cổ tức,Chia cổ tức,Chia cổ tức,-,-,-,-,-,(118.480),(118.480),,,,,,-118480.0,-118480.0
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,-,(11.971),(11.971),,,,,,-11971.0,-11971.0
Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,Số dư tại ngày 1 tháng 1 năm 2017,3.000.000,(34.200),85.962,181.131,3,130.990,3.363.886,3000000.0,-34200.0,85962.0,181131.0,3.0,130990.0,3363886.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,201.693,201.693,,,,,,201693.0,201693.0
Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,Phân bổ vào các quỹ dự trữ bắt buộc,-,-,6.049,12.099,-,(18.148),-,,,6049.0,12099.0,,-18148.0,
Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,-,(13.982),(13.982),,,,,,-13982.0,-13982.0
Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,Số dư tại ngày 31 tháng 12 năm 2017,3.000.000,(34.200),92.011,193.230,3,300.553,3.551.597,3000000.0,-34200.0,92011.0,193230.0,3.0,300553.0,3551597.0
