row_label_raw,row_label_full,2017,Ngân hàng thương mại Triệu VND,Quản lý tài sản Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__Ngân hàng thương mại Triệu VND,numeric__Quản lý tài sản Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
Thu nhập,Thu nhập,Thu nhập,3.001.008,67.661,(21.516),3.047.153,3001008.0,67661.0,-21516.0,3047153.0
Chi phí,Chi phí,Chi phí,(2.697.405),(42.408),9.509,(2.730.304),-2697405.0,-42408.0,9509.0,-2730304.0
Chi phí khấu hao tài sản cố định và bất động sản đầu tư,Chi phí khấu hao tài sản cố định và bất động sản đầu tư,Chi phí khấu hao tài sản cố định và bất động sản đầu tư,(58.447),(6.208),-,(64.655),-58447.0,-6208.0,,-64655.0
Lợi nhuận trước thuế,Lợi nhuận trước thuế,Lợi nhuận trước thuế,245.156,19.045,(12.007),252.194,245156.0,19045.0,-12007.0,252194.0
Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017,Ngân hàng thương mại Triệu VND,Quản lý tài sản Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,,,,
Tài sản bộ phận,Tại ngày 31 tháng 12 năm 2017 > Tài sản bộ phận,Tài sản bộ phận,37.399.596,531.465,(604.256),37.326.805,37399596.0,531465.0,-604256.0,37326805.0
Nợ phải trả bộ phận,Tại ngày 31 tháng 12 năm 2017 > Nợ phải trả bộ phận,Nợ phải trả bộ phận,33.867.794,11.670,(104.256),33.775.208,33867794.0,11670.0,-104256.0,33775208.0
2016,2016,2016,Ngân hàng thương mại Triệu VND,Quản lý tài sản Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,,,,
Thu nhập,2016 > Thu nhập,Thu nhập,2.403.578,48.107,(11.441),2.440.244,2403578.0,48107.0,-11441.0,2440244.0
Chi phí,2016 > Chi phí,Chi phí,(2.214.883),(33.336),7.552,(2.240.667),-2214883.0,-33336.0,7552.0,-2240667.0
Chi phí khấu hao tài sản cố định và bất động sản đầu tư,2016 > Chi phí khấu hao tài sản cố định và bất động sản đầu tư,Chi phí khấu hao tài sản cố định và bất động sản đầu tư,(47.606),(335),-,(47.941),-47606.0,-335.0,,-47941.0
Lợi nhuận trước thuế,2016 > Lợi nhuận trước thuế,Lợi nhuận trước thuế,141.089,14.436,(3.889),151.636,141089.0,14436.0,-3889.0,151636.0
Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Tại ngày 31 tháng 12 năm 2016,Ngân hàng thương mại Triệu VND,Quản lý tài sản Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,,,,
Tài sản bộ phận,Tại ngày 31 tháng 12 năm 2016 > Tài sản bộ phận,Tài sản bộ phận,30.411.497,542.433,(502.922),30.451.008,30411497.0,542433.0,-502922.0,30451008.0
Nợ phải trả bộ phận,Tại ngày 31 tháng 12 năm 2016 > Nợ phải trả bộ phận,Nợ phải trả bộ phận,27.062.081,27.963,(2.922),27.087.122,27062081.0,27963.0,-2922.0,27087122.0
