row_label_raw,row_label_full,col_0,31/12/2017Triệu VND,31/12/2016Triệu VND,numeric__31/12/2017Triệu VND,numeric__31/12/2016Triệu VND
Tiền gửi không kỳ hạn.,Tiền gửi không kỳ hạn.,Tiền gửi không kỳ hạn.,Tiền gửi không kỳ hạn.,Tiền gửi không kỳ hạn.,,
Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn. > Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,765.029,462.695,765029.0,462695.0
Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn. > Tiền gửi không kỳ hạn bằng ngoại tệ,Tiền gửi không kỳ hạn bằng ngoại tệ,1.304,16.715,1304.0,16715.0
Tiền gửi có kỳ hạn bằng VND,Tiền gửi không kỳ hạn. > Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,898.096,774.029,898096.0,774029.0
Tiền gửi tiết kiệm,Tiền gửi tiết kiệm,Tiền gửi tiết kiệm,Tiền gửi tiết kiệm,Tiền gửi tiết kiệm,,
Tiền gửi tiết kiệm không kỳ hạn bằng VND,Tiền gửi tiết kiệm > Tiền gửi tiết kiệm không kỳ hạn bằng VND,Tiền gửi tiết kiệm không kỳ hạn bằng VND,9.712,5.352,9712.0,5352.0
Tiền gửi tiết kiệm không kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm > Tiền gửi tiết kiệm không kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm không kỳ hạn bằng ngoại tệ,13.215,1.816,13215.0,1816.0
Tiền gửi tiết kiệm có kỳ hạn bằng VND,Tiền gửi tiết kiệm > Tiền gửi tiết kiệm có kỳ hạn bằng VND,Tiền gửi tiết kiệm có kỳ hạn bằng VND,24.194.459,21.397.578,24194459.0,21397578.0
Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm > Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,Tiền gửi tiết kiệm có kỳ hạn bằng ngoại tệ,233.491,224.197,233491.0,224197.0
Tiền gửi ký quỹ,Tiền gửi ký quỹ,Tiền gửi ký quỹ,Tiền gửi ký quỹ,Tiền gửi ký quỹ,,
Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ > Tiền gửi ký quỹ bằng VND,Tiền gửi ký quỹ bằng VND,6.871,6.767,6871.0,6767.0
Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ > Tiền gửi ký quỹ bằng ngoại tệ,Tiền gửi ký quỹ bằng ngoại tệ,2.015,11,2015.0,11.0
,,,26.124.192,22.889.160,26124192.0,22889160.0
