row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017 > Quá hạn,Tại ngày 31 tháng 12 năm 2017 > Dưới 1 tháng,Tại ngày 31 tháng 12 năm 2017 > Từ trên 1 đến 3 tháng,Tại ngày 31 tháng 12 năm 2017 > Từ trên 3 đến 6 tháng,Tại ngày 31 tháng 12 năm 2017 > Từ trên 6 đến 12 tháng,Tại ngày 31 tháng 12 năm 2017 > Từ trên 1 đến 5 năm,Tại ngày 31 tháng 12 năm 2017 > Trên 5 năm,numeric__Tại ngày 31 tháng 12 năm 2017 > Quá hạn,numeric__Tại ngày 31 tháng 12 năm 2017 > Dưới 1 tháng,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 1 đến 3 tháng,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 3 đến 6 tháng,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 6 đến 12 tháng,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 1 đến 5 năm,numeric__Tại ngày 31 tháng 12 năm 2017 > Trên 5 năm
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,,,,,
▪ VND,Tiền gửi tại NHNNVN > ▪ VND,▪ VND,(*),"1,20%",(*),(*),(*),(*),(*),,0.012,,,,,
▪ Ngoại tệ,Tiền gửi tại NHNNVN > ▪ Ngoại tệ,▪ Ngoại tệ,(*),"0,05%",(*),(*),(*),(*),(*),,0.0005,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,
▪ VND,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ VND,▪ VND,(*),"3,36%","4,48%",(*),(*),(*),(*),,0.0336,0.044800000000000006,,,,
▪ Ngoại tệ,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,(*),"1,84%",(*),(*),(*),(*),(*),,0.0184,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,
▪ VND,Cho vay khách hàng > ▪ VND,▪ VND,"14,16%","11,04%","9,97%","10,15%","10,90%",(*),(*),0.1416,0.1104,0.09970000000000001,0.1015,0.109,,
▪ Ngoại tệ,Cho vay khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,(*),(*),"2,43%","2,93%","3,64%",(*),(*),,,0.024300000000000002,0.029300000000000003,0.0364,,
