row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2017 Triệu VND,31/12/2016 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2017 Triệu VND,numeric__31/12/2016 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,Tiền mặt,4,433.191,299.046,,4.0,433191.0,299046.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,2.251.582,901.778,,5.0,2251582.0,901778.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,4.163.859,3.090.239,,6.0,4163859.0,3090239.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,4.163.859,3.090.239,,,4163859.0,3090239.0
VI,A > VI,VI,Cho vay khách hàng,,24.465.617,19.596.649,,,24465617.0,19596649.0
1,A > 1,1,Cho vay khách hàng,7,24.685.503,19.766.439,,7.0,24685503.0,19766439.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,8,(219.886),(169.790),,8.0,-219886.0,-169790.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,9,2.154.674,2.923.124,,9.0,2154674.0,2923124.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,1.674.482,2.335.915,,,1674482.0,2335915.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,636.789,715.408,,,636789.0,715408.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(156.597),(128.199),,,-156597.0,-128199.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",10,14.521,14.521,,10.0,14521.0,14521.0
4,A > 4,4,Đầu tư dài hạn khác,,14.521,14.521,,,14521.0,14521.0
X,A > X,X,Tài sản cố định,,1.401.126,1.315.479,,,1401126.0,1315479.0
1,A > 1,1,Tài sản cố định hữu hình,11,689.015,584.959,,11.0,689015.0,584959.0
a,A > a,a,Nguyên giá,,857.203,705.329,,,857203.0,705329.0
b,A > b,b,Giá trị hao mòn lũy kế,,(168.188),(120.370),,,-168188.0,-120370.0
3,A > 3,3,Tài sản cố định vô hình,12,712.111,730.520,,12.0,712111.0,730520.0
a,A > a,a,Nguyên giá,,756.436,765.638,,,756436.0,765638.0
b,A > b,b,Giá trị hao mòn lũy kế,,(44.325),(35.118),,,-44325.0,-35118.0
XI,A > XI,XI,Bất động sản đầu tư,13,143.009,-,,13.0,143009.0,
a,A > a,a,Nguyên giá bất động sản đầu tư,,148.282,-,,,148282.0,
b,A > b,b,Hao mòn bất động sản đầu tư,,(5.273),-,,,-5273.0,
XII,A > XII,XII,Tài sản Có khác,,2.299.226,2.310.172,,,2299226.0,2310172.0
1,A > 1,1,Các khoản phải thu,14,410.054,703.720,,14.0,410054.0,703720.0
2,A > 2,2,"Các khoản lãi, phí phải thu",,1.542.115,1.274.730,,,1542115.0,1274730.0
4,A > 4,4,Tài sản Có khác,15,349.120,331.722,,15.0,349120.0,331722.0
5,A > 5,5,Các khoản dự phòng rủi ro cho các tài sản Có nội bảng,,(2.063),-,,,-2063.0,
,,,TỔNG TÀI SẢN,,37.326.805,30.451.008,,,37326805.0,30451008.0
