row_label_raw,row_label_full,Chứng khoán đầu tư giữ đến ngày đáo hạn (không bao gồm trái phiếu đặc biệt do VAMC phát hành),Số cuối năm > 830.764,Số đầu năm > 1.401.464,numeric__Số cuối năm > 830.764,numeric__Số đầu năm > 1.401.464
Chứng khoán nợ,Chứng khoán nợ,Chứng khoán nợ,,,,
Trái phiếu Chính phủ (i),Chứng khoán nợ > Trái phiếu Chính phủ (i),Trái phiếu Chính phủ (i),830.764,1.401.464,830764.0,1401464.0
Trái phiếu đặc biệt do VAMC phát hành,Chứng khoán nợ > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,-,59.036,,59036.0
Mệnh giá trái phiếu đặc biệt (ii),Chứng khoán nợ > Mệnh giá trái phiếu đặc biệt (ii),Mệnh giá trái phiếu đặc biệt (ii),-,152.499,,152499.0
Dự phòng trái phiếu đặc biệt (iii),Chứng khoán nợ > Dự phòng trái phiếu đặc biệt (iii),Dự phòng trái phiếu đặc biệt (iii),-,(93.463),,-93463.0
Cộng chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán nợ > Cộng chứng khoán đầu tư giữ đến ngày đáo hạn,Cộng chứng khoán đầu tư giữ đến ngày đáo hạn,830.764,1.460.500,830764.0,1460500.0
