row_label_raw,row_label_full,col_0,Số cuối năm > Giá trị ghi số,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá trị ghi số,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá trị ghi số,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá trị ghi số,numeric__Số đầu năm > Giá trị hợp lý
Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,Các khoản nợ Chính phủ và Ngân hàng Nhà nước,-,,255.545,,,,255545.0,
Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,12.280.937,,7.992.502,,12280937.0,,7992502.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,33.172.257,,29.523.464,,33172257.0,,29523464.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,1.200.000,,300.000,,1200000.0,,300000.0,
"Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",688.301,,550.489,,688301.0,,550489.0,
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,190.515,,213.702,,190515.0,,213702.0,
Cộng,Cộng,Cộng,47.532.010,,38.835.702,,47532010.0,,38835702.0,
