row_label_raw,row_label_full,Tiền gửi và vay các TCTD khác,1.375.930,-,-_1,1.375.930_1,numeric__1.375.930,numeric__-,numeric__-_1,numeric__1.375.930_1
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,184.201,662,17,184.880,184201.0,662.0,17.0,184880.0
Các khoản nợ khác,Các khoản nợ khác,Các khoản nợ khác,3.692,-,-,3.692,3692.0,,,3692.0
Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,Tổng nợ phải trả và vốn chủ sở hữu,1.563.823,662,17,1.564.502,1563823.0,662.0,17.0,1564502.0
Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,228.348,5.276,9.357,242.981,228348.0,5276.0,9357.0,242981.0
Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,-,-,-,-,,,,
"Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ ngoại bằng > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",228.348,5.276,9.357,242.981,228348.0,5276.0,9357.0,242981.0
