row_label_raw,row_label_full,STT,Chỉ tiêu,Năm 2018,Năm 2019,Tăng/giảm (+/-) năm 2019 so với năm 2018 > Số dư,Tăng/giảm (+/-) năm 2019 so với năm 2018 > Tỷ lệ (%),numeric__Chỉ tiêu,numeric__Năm 2018,numeric__Năm 2019,numeric__Tăng/giảm (+/-) năm 2019 so với năm 2018 > Số dư,numeric__Tăng/giảm (+/-) năm 2019 so với năm 2018 > Tỷ lệ (%)
I,I,I,Tổng thu nhập,1.152.012,1.197.066,45.054,"3,91",,1152012.0,1197066.0,45054.0,3.91
1,1,1,Thu nhập lãi thuần,968.710,992.051,23.341,"2,41",,968710.0,992051.0,23341.0,2.41
2,2,2,Lãi/ lỗ thuần từ hoạt động dịch vụ,8.714,31.169,22.455,"257,69",,8714.0,31169.0,22455.0,257.69
3,3,3,Lãi/ lỗ thuần từ hoạt động kinh doanh ngoại hối,11.626,28.631,17.005,"146,27",,11626.0,28631.0,17005.0,146.27
4,4,4,Lãi/ lỗ thuần từ mua bán chứng khoán kinh doanh,-,-,-,-,,,,,
5,4 > 5,5,Lãi/ lỗ thuần từ mua bán chứng khoán đầu tư,115.070,61.938,(53.132),"(46,17)",,115070.0,61938.0,-53132.0,-46.17
6,4 > 6,6,Lãi/ lỗ thuần từ hoạt động khác,31.633,26.047,(5.586),"(17,66)",,31633.0,26047.0,-5586.0,-17.66
7,4 > 7,7,"Thu nhập từ góp vốn, mua cổ phần",16.258,57.230,40.972,"252,01",,16258.0,57230.0,40972.0,252.01
II,4 > II,II,Tổng chi phí,916.776,1.069.731,152.955,"16,68",,916776.0,1069731.0,152955.0,16.68
1,4 > 1,1,Chi phí hoạt động,879.133,994.444,115.311,"13,12",,879133.0,994444.0,115311.0,13.12
2,4 > 2,2,Chi phí dự phòng rủi ro tín dụng,37.644,75.287,37.643,"100,00",,37644.0,75287.0,37643.0,100.0
