row_label_raw,row_label_full,Mãsố,col_1,Thuyếtminh,Năm tài chính kết thúcngày 31 tháng 12 năm,Năm tài chính kết thúcngày 31 tháng 12 năm_1,numeric__col_1,numeric__Thuyếtminh,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm,numeric__Năm tài chính kết thúcngày 31 tháng 12 năm_1
Mãsố,Mãsố,Mãsố,,Thuyếtminh,2018VND,2017VND,,,,
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
01,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 01,01,Lợi nhuận kế toán trước thuếĐiều chỉnh cho các khoản:,,1.174.739.977.933,903.845.625.342,,,1174739977933.0,903845625342.0
02,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 02,02,"Khẩu hao tài sản cố định (""TSCĐ"")",,26.904.666.249,38.754.727.226,,,26904666249.0,38754727226.0
03,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 03,03,(Hoàn nhập các khoản dự phòng)/dự phòng,,(3.645.321.000),699.141.756,,,-3645321000.0,699141756.0
04,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 04,04,Lãi chênh lệch tỷ giá hối đoai do đánh giá lạicác khoản mục tiên tệ có gốc ngoại tệ,,(169.041.343),(603.950.650),,,-169041343.0,-603950650.0
05,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 05,05,Lãi từ hoạt động đầu tư,,(19.389.762.774),(14.815.248.111),,,-19389762774.0,-14815248111.0
06,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 06,06,Chi phí lãi vay,,61.984.346.502,55.578.895.516,,,61984346502.0,55578895516.0
08,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 08,08,Lợi nhuận từ hoạt động kinh doanh trướcnhững thay đổi vốn lưu động,,1.240.424.865.567,983.459.191.079,,,1240424865567.0,983459191079.0
09,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 09,09,Tăng các khoản phải thu,,(43.369.098.063),(39.355.026.112),,,-43369098063.0,-39355026112.0
10,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 10,10,Tăng hàng tồn kho,,(1.451.748.067.024),(566.858.503.769),,,-1451748067024.0,-566858503769.0
11,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 11,11,Tăng các khoản phải trả,,265.575.163.354,11.995.157.027,,,265575163354.0,11995157027.0
12,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 12,12,Tăng chi phí trả trước,,(35.977.196.581),(46.065.795.404),,,-35977196581.0,-46065795404.0
14,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 14,14,Tiền lãi vay đã trả,,(61.320.512.488),(55.960.918.599),,,-61320512488.0,-55960918599.0
15,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 15,15,Thuế TNDN đã nộp,,(226.969.645.753),(151.155.667.909),,,-226969645753.0,-151155667909.0
17,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 17,17,Tiền chi khác từ hoạt động kinh doanh,,(25.401.677.884),(33.743.948.190),,,-25401677884.0,-33743948190.0
20,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > 20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,(338.786.168.872),102.314.488.123,,,-338786168872.0,102314488123.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ,,,,
21,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 21,21,"Chi để mua sắm, xây dựng TSCĐvà tài sản dài hạn khác",,(321.814.719.363),(114.207.809.666),,,-321814719363.0,-114207809666.0
22,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 22,22,"Thu từ thanh lý, nhượng bán TSCĐ",,1.075.665.048,8.425.973.637,,,1075665048.0,8425973637.0
23,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 23,23,Chi cho đầu tư nắm giữ đến ngày đáo hạn,,-,(160.000.000.000),,,,-160000000000.0
24,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 24,24,Thu hồi các khoản đầu tư nắm giữđến ngày đáo hạn,,160.065.000.000,-,,,160065000000.0,
25,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 25,25,Chi đầu tư góp vốn vào đơn vị khác,,(40.000.000.000),-,,,-40000000000.0,
27,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 27,27,"Thu lãi tiền gửi, cổ tức được chia",,18.314.097.726,3.963.934.074,,,18314097726.0,3963934074.0
30,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỪ > 30,30,Lưu chuyển tiền thuần từ hoạt động đầu tư,,(182.359.956.589),(261.817.901.955),,,-182359956589.0,-261817901955.0
LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH,,,,
31,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 31,31,"Thu từ phát hành cổ phiếu, nhận vốn góp của chú số hữu",,97.273.160.000,975.035.852.458,,,97273160000.0,975035852458.0
33,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 33,33,Thu từ đi vay,,4.336.772.043.080,3.104.614.032.965,,,4336772043080.0,3104614032965.0
34,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 34,34,Chi trả nợ gốc vay,,(3.662.003.259.254),(3.717.475.946.742),,,-3662003259254.0,-3717475946742.0
36,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 36,36,Chi trả cổ tức,,(268.371.812.300),(185.194.405.300),,,-268371812300.0,-185194405300.0
40,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 40,40,Lưu chuyển thuần từ hoạt động tài chính,,503.670.131.526,176.979.533.381,,,503670131526.0,176979533381.0
50,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 50,50,Lưu chuyển tiền thuần trong năm,,(17.475.993.935),17.476.119.549,,,-17475993935.0,17476119549.0
60,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 60,60,Tiền và tương đương tiền đầu năm,3,167.814.376.098,150.275.926.525,,3.0,167814376098.0,150275926525.0
61,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoai quy đốingoại tệ,,(111.127.713),62.330.024,,,-111127713.0,62330024.0
70,LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TẢI CHÍNH > 70,70,Tiền và tương đương tiền cuối năm,3,150.227.254.450,167.814.376.098,,3.0,150227254450.0,167814376098.0
