row_label_raw,row_label_full,Bà Cao Thị Ngọc DungÔng Lê Trí ThôngBà Nguyễn Thị Cúc,Chủ tịchPhó Chủ tịchThành viên(từ nhiệm ngày 11.6.2018),numeric__Chủ tịchPhó Chủ tịchThành viên(từ nhiệm ngày 11.6.2018)
Bà Phạm Vũ Thanh GiangÔng Lê Hữu HạnhÔng Lê Quang Phúc,Bà Phạm Vũ Thanh GiangÔng Lê Hữu HạnhÔng Lê Quang Phúc,Bà Phạm Vũ Thanh GiangÔng Lê Hữu HạnhÔng Lê Quang Phúc,Thành viênThành viên,
Bà Phạm Thị Mỹ HạnhÔng Robert Alan Willett,Bà Phạm Thị Mỹ HạnhÔng Robert Alan Willett,Bà Phạm Thị Mỹ HạnhÔng Robert Alan Willett,Thành viênThành viên,
