row_label_raw,row_label_full,Diễn giải,Giá trị ghi sổ tạithời điểm đạt đượcquyền kiểm soát,numeric__Giá trị ghi sổ tạithời điểm đạt đượcquyền kiểm soát
,,,VND,
Tài sản,Tài sản,Tài sản,,
Tiền và các khoản tương đương tiền,Tài sản > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,31.045.331,31045331.0
Các khoản phải thu,Tài sản > Các khoản phải thu,Các khoản phải thu,1.879.803.391,1879803391.0
Hàng tồn kho,Tài sản > Hàng tồn kho,Hàng tồn kho,165.509.100,165509100.0
Tài sản ngắn hạn khác,Tài sản > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,1.374.486.636,1374486636.0
Tài sản cố định hữu hình (thuẩn),Tài sản > Tài sản cố định hữu hình (thuẩn),Tài sản cố định hữu hình (thuẩn),1.323.414.246,1323414246.0
Cộng tài sản,Tài sản > Cộng tài sản,Cộng tài sản,4.774.258.704,4774258704.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,
Nợ ngắn hạn,Nợ phải trả > Nợ ngắn hạn,Nợ ngắn hạn,199.910.713,199910713.0
Cộng nợ phải trả,Nợ phải trả > Cộng nợ phải trả,Cộng nợ phải trả,199.910.713,199910713.0
Tổng giá trị tài sản thuần,Nợ phải trả > Tổng giá trị tài sản thuần,Tổng giá trị tài sản thuần,4.574.347.991,4574347991.0
Lợi ích của cổ đông không kiểm soát,Nợ phải trả > Lợi ích của cổ đông không kiểm soát,Lợi ích của cổ đông không kiểm soát,45.743.480,45743480.0
Tổng giá trị tài sản thuần tương ứng với lợiích của Công ty mẹ (99%),Nợ phải trả > Tổng giá trị tài sản thuần tương ứng với lợiích của Công ty mẹ (99%),Tổng giá trị tài sản thuần tương ứng với lợiích của Công ty mẹ (99%),4.528.604.511,4528604511.0
Tổng giá phí của khoản đầu tư này,Nợ phải trả > Tổng giá phí của khoản đầu tư này,Tổng giá phí của khoản đầu tư này,40.145.058.545,40145058545.0
Lợi thế thương mại phát sinh từ hợp nhấtkinh doanh (Thuyết minh số 16),Nợ phải trả > Lợi thế thương mại phát sinh từ hợp nhấtkinh doanh (Thuyết minh số 16),Lợi thế thương mại phát sinh từ hợp nhấtkinh doanh (Thuyết minh số 16),35.616.454.034,35616454034.0
