row_label_raw,row_label_full,col_0,Xây lắp,Sản xuất công nghiệp,Bất động sản,Năng lượng,Hoạt động bán hàng,Các hoạt động khác,Tổng cộng toàn doanh nghiệp,numeric__Xây lắp,numeric__Sản xuất công nghiệp,numeric__Bất động sản,numeric__Năng lượng,numeric__Hoạt động bán hàng,numeric__Các hoạt động khác,numeric__Tổng cộng toàn doanh nghiệp
,,,VND,VND,VND,VND,VND,VND,VND,,,,,,,
Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,Doanh thu thuần từ bán hàng ra bên ngoài,1.730.664.054.934,498.868.808.529,968.609.310.161,559.423.054.774,1.254.390.183.750,72.466.424.757,5.084.421.836.905,1730664054934.0,498868808529.0,968609310161.0,559423054774.0,1254390183750.0,72466424757.0,5084421836905.0
Giá vốn hàng bán,Giá vốn hàng bán,Giá vốn hàng bán,1.559.030.989.531,467.239.814.459,701.286.268.098,210.235.303.799,1.218.829.483.293,62.046.088.559,4.218.667.947.739,1559030989531.0,467239814459.0,701286268098.0,210235303799.0,1218829483293.0,62046088559.0,4218667947739.0
Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,Lợi nhuận từ hoạt động kinh doanh,171.633.065.403,31.628.994.070,267.323.042.063,349.187.750.975,35.560.700.457,10.420.336.198,865.753.889.166,171633065403.0,31628994070.0,267323042063.0,349187750975.0,35560700457.0,10420336198.0,865753889166.0
Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,Tổng chi phí mua TSCĐ,5.609.589.256,7.952.603.109,75.008.271.670,393.563.108.194,-,-,482.133.572.229,5609589256.0,7952603109.0,75008271670.0,393563108194.0,,,482133572229.0
Tài sản bộ phận,Tài sản bộ phận,Tài sản bộ phận,1.243.238.555.130,350.885.267.822,556.252.028.159,3.195.977.098.586,91.751.597.695,24.207.839.568,5.462.312.386.960,1243238555130.0,350885267822.0,556252028159.0,3195977098586.0,91751597695.0,24207839568.0,5462312386960.0
Tài sản không phân bổ,Tài sản không phân bổ,Tài sản không phân bổ,-,-,-,-,-,-,1.134.593.675.910,,,,,,,1134593675910.0
Tổng tài sản,Tổng tài sản,Tổng tài sản,1.243.238.555.130,350.885.267.822,556.252.028.159,3.195.977.098.586,91.751.597.695,24.207.839.568,6.596.906.062.870,1243238555130.0,350885267822.0,556252028159.0,3195977098586.0,91751597695.0,24207839568.0,6596906062870.0
Nợ phải trả bộ phận,Nợ phải trả bộ phận,Nợ phải trả bộ phận,716.878.951.369,273.864.721.353,176.684.397.146,1.814.450.707.519,74.106.029.736,18.926.229.072,3.074.911.036.195,716878951369.0,273864721353.0,176684397146.0,1814450707519.0,74106029736.0,18926229072.0,3074911036195.0
Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,Nợ phải trả không phân bổ,-,-,-,-,-,-,242.766.368.561,,,,,,,242766368561.0
Tổng nợ phải trả,Tổng nợ phải trả,Tổng nợ phải trả,716.878.951.369,273.864.721.353,176.684.397.146,1.814.450.707.519,74.106.029.736,18.926.229.072,3.317.677.404.756,716878951369.0,273864721353.0,176684397146.0,1814450707519.0,74106029736.0,18926229072.0,3317677404756.0
