row_label_raw,row_label_full,col_0,Chung cư Nàng Hương,Chung cư Mỹ Đình plaza,Chung cư PCC1 Hà Đông Complex,Chung cư Mỹ Đình plaza 2,Cộng,numeric__Chung cư Nàng Hương,numeric__Chung cư Mỹ Đình plaza,numeric__Chung cư PCC1 Hà Đông Complex,numeric__Chung cư Mỹ Đình plaza 2,numeric__Cộng
,,,VND,VND,VND,VND,VND,,,,,
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,11.076.525.175,85.271.905.313,24.269.520.970,-,120.617.951.458,11076525175.0,85271905313.0,24269520970.0,,120617951458.0
- Đầu tư xây dựng cơ bản hoàn thành,Nguyên giá > - Đầu tư xây dựng cơ bản hoàn thành,- Đầu tư xây dựng cơ bản hoàn thành,-,-,-,75.008.271.670,75.008.271.670,,,,75008271670.0,75008271670.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,11.076.525.175,85.271.905.313,24.269.520.970,75.008.271.670,195.626.223.128,11076525175.0,85271905313.0,24269520970.0,75008271670.0,195626223128.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.904.283.279,13.994.582.728,1.460.160.764,-,18.359.026.771,2904283279.0,13994582728.0,1460160764.0,,18359026771.0
- Khấu hao trong năm,Giá trị hao mòn lũy kế > - Khấu hao trong năm,- Khấu hao trong năm,398.779.182,3.729.164.227,970.780.835,1.500.165.433,6.598.889.677,398779182.0,3729164227.0,970780835.0,1500165433.0,6598889677.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.303.062.461,17.723.746.955,2.430.941.599,1.500.165.433,24.957.916.448,3303062461.0,17723746955.0,2430941599.0,1500165433.0,24957916448.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Tại ngày đầu năm,Giá trị còn lại > Tại ngày đầu năm,Tại ngày đầu năm,8.172.241.896,71.277.322.585,22.809.360.206,-,102.258.924.687,8172241896.0,71277322585.0,22809360206.0,,102258924687.0
Tại ngày cuối năm,Giá trị còn lại > Tại ngày cuối năm,Tại ngày cuối năm,7.773.462.714,67.548.158.358,21.838.579.371,73.508.106.237,170.668.306.680,7773462714.0,67548158358.0,21838579371.0,73508106237.0,170668306680.0
