row_label_raw,row_label_full,a) Tài sản thuế thu nhập hoãn lại,a) Tài sản thuế thu nhập hoãn lại_1,a) Tài sản thuế thu nhập hoãn lại_2,numeric__a) Tài sản thuế thu nhập hoãn lại_1,numeric__a) Tài sản thuế thu nhập hoãn lại_2
,,,31/12/2018,01/01/2018,,
,,,VND,VND,,
- Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,- Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,- Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,-,2.308.100.000,,2308100000.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,-,2.308.100.000,,2308100000.0
b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả,,
,,,31/12/2018,01/01/2018,,
,,,VND,VND,,
- Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,b) Thuế thu nhập hoãn lại phải trả > - Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,- Thuế thu nhập hoãn lại phải trả phát sinh từ việc hoàn nhập dự phòng đầu tư tài chính,13.557.522.068,14.639.705.752,13557522068.0,14639705752.0
"- Tài sản thuế TNDN hoãn lại tương ứng với lãi, lỗ chưa thực hiện","b) Thuế thu nhập hoãn lại phải trả > - Tài sản thuế TNDN hoãn lại tương ứng với lãi, lỗ chưa thực hiện","- Tài sản thuế TNDN hoãn lại tương ứng với lãi, lỗ chưa thực hiện",(1.943.816.878),-,-1943816878.0,
Thuế thu nhập hoãn lại phải trả,b) Thuế thu nhập hoãn lại phải trả > Thuế thu nhập hoãn lại phải trả,Thuế thu nhập hoãn lại phải trả,11.613.705.190,14.639.705.752,11613705190.0,14639705752.0
c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,c) Chi phí thuế TNDN hoãn lại,,
,,,Năm 2018,Năm 2017,,
,,,VND,VND,,
Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,c) Chi phí thuế TNDN hoãn lại > Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,Chi phí thuế TNDN 1% tạm nộp đối với doanh thu thu tiền theo tiến độ từ hoạt động chuyển nhượng bất động sản,2.308.100.000,(2.308.100.000),2308100000.0,-2308100000.0
"Chi phí thuế TNDN hoãn lại tương ứng với lãi, lỗ chưa thực hiện","c) Chi phí thuế TNDN hoãn lại > Chi phí thuế TNDN hoãn lại tương ứng với lãi, lỗ chưa thực hiện","Chi phí thuế TNDN hoãn lại tương ứng với lãi, lỗ chưa thực hiện",(1.943.816.878),692.682.881,-1943816878.0,692682881.0
Chi phí thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng đầu tư tài chính,c) Chi phí thuế TNDN hoãn lại > Chi phí thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng đầu tư tài chính,Chi phí thuế TNDN hoãn lại phát sinh từ việc điều chỉnh dự phòng đầu tư tài chính,(1.082.183.684),(651.655.506),-1082183684.0,-651655506.0
,,,(717.900.562),(2.267.072.625),-717900562.0,-2267072625.0
