row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Năm 2018,Năm 2017,numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Năm 2018,numeric__Năm 2017
,,,,,VND,VND,,,,
III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH,,,,
31,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 31,31,"I. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",,16.710.000.000,518.588.593.468,,,16710000000.0,518588593468.0
32,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 32,32,"2. Tiền trả lại vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành",,-,(286.992.387),,,,-286992387.0
33,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 33,33,3. Tiền thu từ đi vay,,1.811.721.582.654,2.199.846.778.844,,,1811721582654.0,2199846778844.0
34,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 34,34,4. Tiền trả nợ gốc vay,,(1.663.101.470.625),(1.494.625.603.642),,,-1663101470625.0,-1494625603642.0
36,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 36,36,"5. Cổ tức, lợi nhuận đã trả cho chủ sở hữu",,(9.570.446.824),,,,-9570446824.0,
40,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 40,40,Lưu chuyển tiền thuần từ hoạt động tài chính,,155.759.665.205,1.223.522.776.283,,,155759665205.0,1223522776283.0
50,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 50,50,Lưu chuyển tiền thuần trong năm,,133.811.356.726,148.796.242.702,,,133811356726.0,148796242702.0
60,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 60,60,Tiền và tương đương tiền đầu năm,,567.443.915.134,418.609.736.913,,,567443915134.0,418609736913.0
61,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 61,61,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,,24.901.495,37.935.519,,,24901495.0,37935519.0
70,III. LU'U CHUYÊN TIÊN TỪ HOẠT ĐỘNG TÀI CHÍNH > 70,70,Tiền và tương đương tiền cuối năm,4,701.280.173.355,567.443.915.134,,4.0,701280173355.0,567443915134.0
