row_label_raw,row_label_full,col_0,Vốn đầu tư của chủ sở hữu,Thặng dư vốn cổ phần,Vốn khác của chủ sở hữu,Cổ phiếu quỹ,Chênh lệch đánh giá lại tài sản,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác của chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Chênh lệch đánh giá lại tài sản,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,,,
Số dư đầu năm trước (**),Số dư đầu năm trước (**),Số dư đầu năm trước (**),752.629.140.000,369.631.183.318,-,(4.320.000),432.841.146,56.788.473.123,13.684.934.477,764.936.664.360,104.575.216.219,2.062.674.132.643,752629140000.0,369631183318.0,,-4320000.0,432841146.0,56788473123.0,13684934477.0,764936664360.0,104575216219.0,2062674132643.0
Tăng vốn trong năm trước (**),Tăng vốn trong năm trước (**),Tăng vốn trong năm trước (**),176.115.220.000,352.230.440.000,-,-,-,-,-,-,6.093.743.700,534.439.403.700,176115220000.0,352230440000.0,,,,,,,6093743700.0,534439403700.0
Giảm do thanh lý Công ty con Lãi trong năm trước,Giảm do thanh lý Công ty con Lãi trong năm trước,Giảm do thanh lý Công ty con Lãi trong năm trước,-,-,-,-,-,-,-,-,(286.992.387),(286.992.387),,,,,,,,,-286992387.0,-286992387.0
Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,Chia cổ tức bằng cổ phiếu,225.784.060.000,-,-,-,-,-,-,236.661.088.790,19.640.787.520,256.301.876.310,225784060000.0,,,,,,,236661088790.0,19640787520.0,256301876310.0
Phân phối lợi nhuận trong năm:,Phân phối lợi nhuận trong năm:,Phân phối lợi nhuận trong năm:,-,-,-,-,-,22.028.522.105,9.445.748.070,(225.784.060.000),-,-,,,,,,22028522105.0,9445748070.0,-225784060000.0,,
Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,Trích quỹ đầu tư phát triển,-,-,-,-,-,22.028.522.105,-,(57.654.132.989),(45.497.970),(26.225.360.784),,,,,,22028522105.0,,-57654132989.0,-45497970.0,-26225360784.0
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,-,-,(22.028.522.105),-,-,,,,,,,,-22028522105.0,,
Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,Trích quỹ thưởng ban điều hành,-,-,-,-,-,-,-,(22.416.717.114),(45.497.970),(22.462.215.084),,,,,,,,-22416717114.0,-45497970.0,-22462215084.0
Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,Trích quỹ dự trữ bổ sung vốn điều lệ,-,-,-,-,-,-,9.445.748.070,(3.763.145.700),-,(3.763.145.700),,,,,,,9445748070.0,-3763145700.0,,-3763145700.0
