row_label_raw,row_label_full,Mã số,TÀI SẢN,Thuyết minh,31/12/2018 > VND,01/01/2018 > VND,numeric__TÀI SẢN,numeric__Thuyết minh,numeric__31/12/2018 > VND,numeric__01/01/2018 > VND
100,100,100,A. TÀI SẢN NGẮN HẠN,,3.150.022.692.004,3.093.186.279.977,,,3150022692004.0,3093186279977.0
110,110,110,I. Tiền và các khoản tương đương tiền,4,701.280.173.355,567.443.915.134,,4.0,701280173355.0,567443915134.0
111,111,111,1. Tiền,,137.553.458.977,158.242.040.134,,,137553458977.0,158242040134.0
112,112,112,2. Các khoản tương đương tiền,,563.726.714.378,409.201.875.000,,,563726714378.0,409201875000.0
120,120,120,II. Đầu tư tài chính ngắn hạn,5,90.000.000.000,100.000.000.000,,5.0,90000000000.0,100000000000.0
123,123,123,1. Đầu tư nắm giữ đến ngày đáo hạn,,90.000.000.000,100.000.000.000,,,90000000000.0,100000000000.0
130,130,130,III. Các khoản phải thu ngắn hạn,,1.551.785.450.653,1.302.166.698.273,,,1551785450653.0,1302166698273.0
131,131,131,1. Phải thu ngắn hạn của khách hàng,6,1.032.394.818.863,876.196.710.384,,6.0,1032394818863.0,876196710384.0
132,132,132,2. Trả trước cho người bán ngắn hạn,7,399.630.701.745,276.602.517.757,,7.0,399630701745.0,276602517757.0
135,135,135,3. Phải thu về cho vay ngắn hạn,8,1.655.000.000,1.655.000.000,,8.0,1655000000.0,1655000000.0
136,136,136,4. Phải thu ngắn hạn khác,9,121.337.165.730,151.460.258.726,,9.0,121337165730.0,151460258726.0
137,137,137,5. Dự phòng phải thu ngắn hạn khó đòi,,(3.232.235.685),(3.747.788.594),,,-3232235685.0,-3747788594.0
140,140,140,IV. Hàng tồn kho,10,759.475.370.567,1.085.490.907.212,,10.0,759475370567.0,1085490907212.0
141,141,141,1. Hàng tồn kho,,759.475.370.567,1.085.490.907.212,,,759475370567.0,1085490907212.0
150,150,150,V. Tài sản ngắn hạn khác,,47.481.697.429,38.084.759.358,,,47481697429.0,38084759358.0
151,151,151,1. Chi phí trả trước ngắn hạn,15,3.435.757.372,2.560.869.361,,15.0,3435757372.0,2560869361.0
152,152,152,2. Thuế GTGT được khấu trừ,,44.044.807.296,35.413.911.896,,,44044807296.0,35413911896.0
153,153,153,3. Thuế và các khoản khác phải thu Nhà nước,20,1.132.761,109.978.101,,20.0,1132761.0,109978101.0
200,200,200,B. TÀI SẢN DÀI HẠN,,3.446.883.370.866,3.120.585.956.203,,,3446883370866.0,3120585956203.0
210,210,210,I. Các khoản phải thu dài hạn,,8.295.573.500,37.744.000,,,8295573500.0,37744000.0
216,216,216,1. Phải thu dài hạn khác,9,8.295.573.500,37.744.000,,9.0,8295573500.0,37744000.0
220,220,220,II. Tài sản cố định,,2.530.560.673.102,2.755.397.437.663,,,2530560673102.0,2755397437663.0
221,221,221,1. Tài sản cố định hữu hình,12,2.528.901.750.118,2.754.199.345.142,,12.0,2528901750118.0,2754199345142.0
222,222,222,- Nguyên giá,,2.953.784.555.189,3.056.368.931.188,,,2953784555189.0,3056368931188.0
223,223,223,- Giá trị hao mòn lũy kế,,(424.882.805.071),(302.169.586.046),,,-424882805071.0,-302169586046.0
227,227,227,2. Tài sản cố định vô hình,13,1.658.922.984,1.198.092.521,,13.0,1658922984.0,1198092521.0
228,228,228,- Nguyên giá,,2.072.207.819,1.478.376.000,,,2072207819.0,1478376000.0
229,229,229,- Giá trị hao mòn lũy kế,,(413.284.835),(280.283.479),,,-413284835.0,-280283479.0
230,230,230,III. Bất động sản đầu tư,14,170.668.306.680,102.258.924.687,,14.0,170668306680.0,102258924687.0
231,231,231,- Nguyên giá,,195.626.223.128,120.617.951.458,,,195626223128.0,120617951458.0
232,232,232,- Giá trị hao mòn lũy kế,,(24.957.916.448),(18.359.026.771),,,-24957916448.0,-18359026771.0
240,240,240,IV. Tài sản dở dang dài hạn,,442.210.474.227,61.331.708.529,,,442210474227.0,61331708529.0
242,242,242,1. Chi phí xây dựng cơ bản dở dang,11,442.210.474.227,61.331.708.529,,11.0,442210474227.0,61331708529.0
