row_label_raw,row_label_full,TT,Tên công ty,Địa chỉ,Tỷ lệ lợi ích/quyền biểu quyết,Tỷ lệ cam kết góp,Hoạt động kinh doanh chính,numeric__Tên công ty,numeric__Địa chỉ,numeric__Tỷ lệ lợi ích/quyền biểu quyết,numeric__Tỷ lệ cam kết góp,numeric__Hoạt động kinh doanh chính
1,1,1,Công ty TNHH MTVXây lắp điện 1 - Đại Mỗ,"Phố Chợ, Phường Đại Mỗ,Quận Nam Từ Liêm, thành phố Hà Nội",100%,100%,Xây lắp điện,,,1.0,1.0,
2,2,2,Công ty TNHH MTVXây lắp điện 1 - Hà Nội,"Số 583 Km 9 đườngNguyễn Trãi, Văn Quán,Q. Hà Đông, Hà Nội",100%,100%,Xây lắp điện,,,1.0,1.0,
3,3,3,Công ty TNHH MTVXây lắp điện 1 - Miền Nam,"Cao ốc An Khang, số 28 Đường 19, Khu phố 5,Phường An Phú, Quận 2,Hồ Chí Minh",100%,100%,Xây lắp điện,,,1.0,1.0,
4,4,4,Công ty TNHH MTVXây lắp điện 1 - Miền Bắc,"Phố Chợ, Phường Đại Mỗ,Quận Nam Từ Liêm, thành phố Hà Nội",100%,100%,Xây lắp điện,,,1.0,1.0,
5,5,5,Công ty TNHH MTVXây lắp điện 1 - Mỹ Đình,"Số 138 Trần Bình, P. Mỹ Đình 2, Q Nam Từ Liêm,thành phố Hà Nội",100%,100%,Xây lắp điện,,,1.0,1.0,
6,6,6,Công ty TNHH MTVXây lắp điện 1 - Từ Liêm,"Tổ 19, P. Xuân Phương,Q. Nam Từ Liêm, Hà Nội",100%,100%,Xây lắp điện,,,1.0,1.0,
7,7,7,Công ty TNHH MTVXây lắp điện 1 - Hà Đông,"Thôn Văn La, phường PhúLa, quận Hà Đông, Hà Nội.",100%,100%,Xây lắp điện,,,1.0,1.0,
8,8,8,Công ty TNHH MTVXây lắp điện 1 - Nàng Hương,"Số 583 Km 9 đườngNguyễn Trãi, Văn Quán,Q. Hà Đông, Hà Nội",100%,100%,Dịch vụ,,,1.0,1.0,
9,9,9,Công ty TNHH MTVXây lắp điện 1 - Hoàng Mai,"Số 471, đường NguyễnTam Trinh, P. Hoàng VănThụ, Q. Hoàng Mai, Hà Nội",100%,100%,Xây lắp điện,,,1.0,1.0,
10,10,10,Công ty TNHH MTVXây lắp điện 1 - Ninh Bình,"Phường Ninh Thành, TPNinh Bình, tỉnh Ninh Bình",100%,100%,Xây lắp điện,,,1.0,1.0,
