row_label_raw,row_label_full,Tại ngày 31/12/2018,Từ 1 nămtrở xuốngVND > Tại ngày 31/12/2018,Trên 1 nămđến 5 nămVND > Tại ngày 31/12/2018,Trên 5 nămVND > Tại ngày 31/12/2018,CộngVND > Tại ngày 31/12/2018,numeric__Từ 1 nămtrở xuốngVND > Tại ngày 31/12/2018,numeric__Trên 1 nămđến 5 nămVND > Tại ngày 31/12/2018,numeric__Trên 5 nămVND > Tại ngày 31/12/2018,numeric__CộngVND > Tại ngày 31/12/2018
Vay và nợ,Vay và nợ,Vay và nợ,415.790.185.025,486.640.000.000,1.067.316.591.681,1.969.746.776.706,415790185025.0,486640000000.0,1067316591681.0,1969746776706.0
"Phải trả người bán, phải trảkhác","Phải trả người bán, phải trảkhác","Phải trả người bán, phải trảkhác",813.618.303.804,1.048.203.506,-,814.666.507.310,813618303804.0,1048203506.0,,814666507310.0
Chi phí phải trả,Chi phí phải trả,Chi phí phải trả,139.453.399.280,-,-,139.453.399.280,139453399280.0,,,139453399280.0
,,,1.368.861.888.109,487.688.203.506,1.067.316.591.681,2.923.866.683.296,1368861888109.0,487688203506.0,1067316591681.0,2923866683296.0
,,,Từ 1 nămtrở xuốngVND,Trên 1 nămđến 5 nămVND,Trên 5 nămVND,CộngVND,,,,
Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,Tại ngày 01/01/2018,,,,
Vay và nợ,Tại ngày 01/01/2018 > Vay và nợ,Vay và nợ,293.997.080.253,594.443.773.061,932.685.811.363,1.821.126.664.677,293997080253.0,594443773061.0,932685811363.0,1821126664677.0
"Phải trả người bán, phải trả","Tại ngày 01/01/2018 > Phải trả người bán, phải trả","Phải trả người bán, phải trả",831.279.742.958,241.516.269,-,831.521.259.227,831279742958.0,241516269.0,,831521259227.0
Chi phí phải trả,Tại ngày 01/01/2018 > Chi phí phải trả,Chi phí phải trả,205.846.786.068,-,-,205.846.786.068,205846786068.0,,,205846786068.0
,,,1.331.123.609.279,594.685.289.330,932.685.811.363,2.858.494.709.972,1331123609279.0,594685289330.0,932685811363.0,2858494709972.0
