row_label_raw,row_label_full,col_0,col_1,31/12/2018 > Giá trịVND,31/12/2018 > Số có khả năng trả nợVND,01/01/2018 > Giá trịVND,01/01/2018 > Số có khả năng trả nợVND,numeric__col_1,numeric__31/12/2018 > Giá trịVND,numeric__31/12/2018 > Số có khả năng trả nợVND,numeric__01/01/2018 > Giá trịVND,numeric__01/01/2018 > Số có khả năng trả nợVND
Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn,,,,,
-,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > -,-,Tianjin Tianfa Heavy Machinery & Hydropower Equipment Manufacture,7.411.506.518,7.411.506.518,38.517.707.854,38.517.707.854,,7411506518.0,7411506518.0,38517707854.0,38517707854.0
-,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > -,-,Công ty Cổ phần Sông Đà 5,23.721.431.636,23.721.431.636,52.784.540.616,52.784.540.616,,23721431636.0,23721431636.0,52784540616.0,52784540616.0
-,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > -,-,Tổng Công ty Khoáng sản TKV-CTCP,-,-,84.387.502.100,84.387.502.100,,,,84387502100.0,84387502100.0
-,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > -,-,Công ty Cổ phần Đầu tư Xây dựng Ricons,70.200.323.350,70.200.323.350,111.439.391.189,111.439.391.189,,70200323350.0,70200323350.0,111439391189.0,111439391189.0
-,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > -,-,Công ty TNHH TM Đức Giang,50.508.018.610,50.508.018.610,-,-,,50508018610.0,50508018610.0,,
-,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > -,-,Công ty CP Đầu tư Thương mại XNK Việt Phát,71.961.445.345,71.961.445.345,-,-,,71961445345.0,71961445345.0,,
-,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > -,-,Tổng Công ty Máy và Thiết bị Công nghiệp-CTCP,26.812.839.068,26.812.839.068,-,-,,26812839068.0,26812839068.0,,
-,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > -,-,Công ty Cổ phần Kết cấu thép và Thiết bị Nâng hạ Hoàng Anh,24.347.766.330,24.347.766.330,-,-,,24347766330.0,24347766330.0,,
-,Phải trả người bán chi tiết theo nhà cung cấp có số dư lớn > -,-,Phải trả các đối tượng,483.406.871.686,483.406.871.686,506.567.660.162,506.567.660.162,,483406871686.0,483406871686.0,506567660162.0,506567660162.0
,,,,758.370.202.543,758.370.202.543,793.696.801.921,793.696.801.921,,758370202543.0,758370202543.0,793696801921.0,793696801921.0
