row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng","Máy móc, thiết bịtriệu đồng",Phương tiệnvận tải và thiết bịtruyền đầntriệu đồng,TSCĐ kháctriệu đồng,Tổng côngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng","numeric__Máy móc, thiết bịtriệu đồng",numeric__Phương tiệnvận tải và thiết bịtruyền đầntriệu đồng,numeric__TSCĐ kháctriệu đồng,numeric__Tổng côngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.424.122,2.495.187,1.067.066,476.669,6.463.044,2424122.0,2495187.0,1067066.0,476669.0,6463044.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,92.617,237.943,159.228,81.272,571.060,92617.0,237943.0,159228.0,81272.0,571060.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,-,(45.916),(17.207),(2.756),(65.879),,-45916.0,-17207.0,-2756.0,-65879.0
Giảm khác trong năm,Nguyên giá > Giảm khác trong năm,Giảm khác trong năm,(9.313),(14.845),(5.460),(3.720),(33.338),-9313.0,-14845.0,-5460.0,-3720.0,-33338.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(11),(842),(389),(90),(1.332),-11.0,-842.0,-389.0,-90.0,-1332.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.507.415,2.671.527,1.203.238,551.375,6.933.555,2507415.0,2671527.0,1203238.0,551375.0,6933555.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,506.379,1.669.666,862.628,271.190,3.309.863,506379.0,1669666.0,862628.0,271190.0,3309863.0
Chi phí khấu hao trong năm,Giá trị hao mòn luỹ kế > Chi phí khấu hao trong năm,Chi phí khấu hao trong năm,104.053,429.514,157.065,84.338,774.970,104053.0,429514.0,157065.0,84338.0,774970.0
Thanh lý trong năm,Giá trị hao mòn luỹ kế > Thanh lý trong năm,Thanh lý trong năm,-,(37.270),(17.207),(2.058),(56.535),,-37270.0,-17207.0,-2058.0,-56535.0
Tăng/(giảm) khác trong năm,Giá trị hao mòn luỹ kế > Tăng/(giảm) khác trong năm,Tăng/(giảm) khác trong năm,(8.128),21.367,801,23.543,37.583,-8128.0,21367.0,801.0,23543.0,37583.0
Chênh lệch tỷ giá,Giá trị hao mòn luỹ kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,(11),(605),(259),(81),(956),-11.0,-605.0,-259.0,-81.0,-956.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,602.293,2.082.672,1.003.028,376.932,4.064.925,602293.0,2082672.0,1003028.0,376932.0,4064925.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.917.743,825.521,204.438,205.479,3.153.181,1917743.0,825521.0,204438.0,205479.0,3153181.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,1.905.122,588.855,200.210,174.443,2.868.630,1905122.0,588855.0,200210.0,174443.0,2868630.0
