row_label_raw,row_label_full,col_0,Năm 2023triệu đồng,Năm 2022triệu đồng,numeric__Năm 2023triệu đồng,numeric__Năm 2022triệu đồng
Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,Thu nhập lãi và các khoản thu nhập tương tự,61.922.957,45.236.711,61922957.0,45236711.0
Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,Thu nhập lãi tiền gửi,1.331.992,1.242.372,1331992.0,1242372.0
Thu nhập lãi cho vay,Thu nhập lãi cho vay,Thu nhập lãi cho vay,46.329.340,32.576.582,46329340.0,32576582.0
Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,Thu lãi từ chứng khoán nợ,12.009.652,8.599.721,12009652.0,8599721.0
Thu nhập lãi từ nghiệp vụ mua bán nợ,Thu nhập lãi từ nghiệp vụ mua bán nợ,Thu nhập lãi từ nghiệp vụ mua bán nợ,174.326,-,174326.0,
Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,Thu từ nghiệp vụ bảo lãnh,1.495.953,2.341.125,1495953.0,2341125.0
Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,Thu khác từ hoạt động tín dụng,581.694,476.911,581694.0,476911.0
Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,Chi phí lãi và các chi phí tương tự,(29.972.397),(16.241.476),-29972397.0,-16241476.0
Trả lãi tiền gửi,Trả lãi tiền gửi,Trả lãi tiền gửi,(20.976.829),(10.994.202),-20976829.0,-10994202.0
Trả lãi tiền vay,Trả lãi tiền vay,Trả lãi tiền vay,(1.333.059),(753.112),-1333059.0,-753112.0
Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,Trả lãi phát hành giấy tờ có giá,(6.639.829),(3.370.659),-6639829.0,-3370659.0
Chi phí hoạt động tín dụng khác,Chi phí hoạt động tín dụng khác,Chi phí hoạt động tín dụng khác,(1.022.680),(1.123.503),-1022680.0,-1123503.0
Thu nhập lãi thuần,Thu nhập lãi thuần,Thu nhập lãi thuần,31.950.560,28.995.235,31950560.0,28995235.0
