row_label_raw,row_label_full,Số dư đầu năm > Trích lập trong năm > Sử dụng dự phòng trong năm,Năm 2023 triệu đồng > 695 > -,Năm 2022 triệu đồng > 80.856 > 239 > (80.400),numeric__Năm 2023 triệu đồng > 695 > -,numeric__Năm 2022 triệu đồng > 80.856 > 239 > (80.400)
Biến động khác,Biến động khác,Biến động khác,(695),-,-695.0,
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,-,695,,695.0
