row_label_raw,row_label_full,col_0,Mién Bóc,Mién Trung,Mién Nam,Núóc ngoài,Loai trừ,Tóng công,numeric__Mién Bóc,numeric__Mién Trung,numeric__Mién Nam,numeric__Núóc ngoài,numeric__Loai trừ,numeric__Tóng công
Doanh thu,Doanh thu,Doanh thu,128.425.582,6.961.415,30.889.777,182.585,(88.505.312),77.954.047,128425582.0,6961415.0,30889777.0,182585.0,-88505312.0,77954047.0
1. Doanh thu lãi,1. Doanh thu lãi,1. Doanh thu lãi,108.228.176,5.949.326,28.627.483,134.332,(81.016.360),61.922.957,108228176.0,5949326.0,28627483.0,134332.0,-81016360.0,61922957.0
2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,3.285.904,149.000,844.524,3.367,697.921,4.980.716,3285904.0,149000.0,844524.0,3367.0,697921.0,4980716.0
3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,16.911.502,863.089,1.417.770,44.886,(8.186.873),11.050.374,16911502.0,863089.0,1417770.0,44886.0,-8186873.0,11050374.0
Chi phí,Chi phí,Chi phí,(108.258.082),(4.212.443),(21.287.446),(145.826),83.632.440,(50.271.357),-108258082.0,-4212443.0,-21287446.0,-145826.0,83632440.0,-50271357.0
1. Chi phí lãi,1. Chi phí lãi,1. Chi phí lãi,(88.972.098),(3.452.058),(17.709.805),(102.009),80.263.573,(29.972.397),-88972098.0,-3452058.0,-17709805.0,-102009.0,80263573.0,-29972397.0
2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,2. Chi phí khấu hao TSCĐ,(1.033.537),(23.437),(66.219),(1.123),-,(1.124.316),-1033537.0,-23437.0,-66219.0,-1123.0,,-1124316.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(18.252.447),(736.948),(3.511.422),(42.694),3.368.867,(19.174.644),-18252447.0,-736948.0,-3511422.0,-42694.0,3368867.0,-19174644.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,Kết quả kinh doanh trước chi phí dự phòng rủi ro,20.167.500,2.748.972,9.602.331,36.759,(4.872.872),27.682.690,20167500.0,2748972.0,9602331.0,36759.0,-4872872.0,27682690.0
Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(3.685.210),(713.054),(3.467.768),(1.527),4.872.872,(2.994.687),-3685210.0,-713054.0,-3467768.0,-1527.0,4872872.0,-2994687.0
Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),Kết quả kinh doanh bộ phận (trước thuế),16.482.290,2.035.918,6.134.563,35.232,-,24.688.003,16482290.0,2035918.0,6134563.0,35232.0,,24688003.0
