row_label_raw,row_label_full,Vốn điều lệ triệu đồng,Thặng dư vốn cổ phần triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,Quỹ dự phòng tài chính triệu đồng,Quỹ khác triệu đồng,Lợi nhuận chưa phân phối triệu đồng,Tổng công triệu đồng,numeric__Thặng dư vốn cổ phần triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ triệu đồng,numeric__Quỹ dự phòng tài chính triệu đồng,numeric__Quỹ khác triệu đồng,numeric__Lợi nhuận chưa phân phối triệu đồng,numeric__Tổng công triệu đồng
37.783.218,37.783.218,37.783.218,869.327,2.202.005,4.389.210,473.391,11.601.748,57.318.899,869327.0,2202005.0,4389210.0,473391.0,11601748.0,57318899.0
,,,,,,,16.310.087,16.310.087,,,,,16310087.0,16310087.0
,,,,577.721,1.155.442,408.141,(2.141.304),(808.810),,577721.0,1155442.0,408141.0,-2141304.0,-808810.0
,,,,,,,(808.810),(808.810),,,,,-808810.0,-808810.0
,,,,,,(233.128),,(233.128),,,,-233128.0,,-233128.0
7.556.643,7.556.643,7.556.643,,,,,(7.556.643),51.080,,,,,-7556643.0,51080.0
,,,,,,,(35.471),(37.901),,,,,-35471.0,-37901.0
,,,,,,(2.430),,,,,,-2430.0,,
45.339.861,45.339.861,45.339.861,869.327,2.779.726,5.544.652,645.974,17.420.687,72.600.227,869327.0,2779726.0,5544652.0,645974.0,17420687.0,72600227.0
,,,,,,,19.830.543,19.830.543,,,,,19830543.0,19830543.0
,,,,815.504,1.631.009,410.122,(2.856.635),(1.304.807),,815504.0,1631009.0,410122.0,-2856635.0,-1304807.0
,,,,,,,(1.304.807),(247.170),,,,,-1304807.0,-247170.0
,,,,,,(247.170),,(247.170),,,,-247170.0,,-247170.0
6.800.980,6.800.980,6.800.980,,,,,(6.800.980),(2.266.993),,,,,-6800980.0,-2266993.0
,,,,,,,(2.266.993),(4.051),,,,,-2266993.0,-4051.0
,,,,,,,(4.051),(4.051),,,,,-4051.0,-4051.0
,,,,,,(1.138),(9.212),(10.350),,,,-1138.0,-9212.0,-10350.0
52.140.841,52.140.841,52.140.841,869.327,3.595.230,7.175.661,807.788,24.008.552,88.597.399,869327.0,3595230.0,7175661.0,807788.0,24008552.0,88597399.0
