row_label_raw,row_label_full,col_0,2023%/năm,2022%/năm,numeric__2023%/năm,numeric__2022%/năm
Cho vay bằng VND,Cho vay bằng VND,Cho vay bằng VND,"3,00 - 12,50","5,50 – 13,50",,
Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,"3,50 - 8,00","4,00 – 8,50",,
