row_label_raw,row_label_full,col_0,Miền Bắc,Miền Trung,Miền Nam,Nước ngoài,Loại trừ,Tổng cộng,numeric__Miền Bắc,numeric__Miền Trung,numeric__Miền Nam,numeric__Nước ngoài,numeric__Loại trừ,numeric__Tổng cộng
Tài sản,Tài sản,Tài sản,455.282.449,34.590.469,197.952.977,3.633.461,(794.772),690.664.584,455282449.0,34590469.0,197952977.0,3633461.0,-794772.0,690664584.0
1. Tiền mặt,1. Tiền mặt,1. Tiền mặt,1.832.069,426.201,1.425.005,59.892,-,3.743.167,1832069.0,426201.0,1425005.0,59892.0,,3743167.0
2. Tài sản cố định,2. Tài sản cố định,2. Tài sản cố định,4.033.216,41.323,117.156,7.832,-,4.199.527,4033216.0,41323.0,117156.0,7832.0,,4199527.0
3. Tài sản khác,3. Tài sản khác,3. Tài sản khác,449.417.164,34.122.945,196.410.816,3.565.737,(794.772),682.721.890,449417164.0,34122945.0,196410816.0,3565737.0,-794772.0,682721890.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,392.061.193,33.380.518,191.995.102,1.422.316,(794.772),618.064.357,392061193.0,33380518.0,191995102.0,1422316.0,-794772.0,618064357.0
1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,1. Nợ phải trả khách hàng bên ngoài,471.478.887,24.028.017,103.631.101,1.412.786,(399.032),600.151.759,471478887.0,24028017.0,103631101.0,1412786.0,-399032.0,600151759.0
2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,2. Nợ phải trả nội bộ,940.048,4,208,1.163,-,941.423,940048.0,4.0,208.0,1163.0,,941423.0
3. Nợ phải trả khác,3. Nợ phải trả khác,3. Nợ phải trả khác,(80.357.742),9.352.497,88.363.793,8.367,(395.740),16.971.175,-80357742.0,9352497.0,88363793.0,8367.0,-395740.0,16971175.0
Kết quả hoạt động theo bộ phận cho năm kết thúc ngày 31 tháng 12 năm 2022:,Kết quả hoạt động theo bộ phận cho năm kết thúc ngày 31 tháng 12 năm 2022:,Kết quả hoạt động theo bộ phận cho năm kết thúc ngày 31 tháng 12 năm 2022:,Kết quả hoạt động theo bộ phận cho năm kết thúc ngày 31 tháng 12 năm 2022:,Kết quả hoạt động theo bộ phận cho năm kết thúc ngày 31 tháng 12 năm 2022:,Kết quả hoạt động theo bộ phận cho năm kết thúc ngày 31 tháng 12 năm 2022:,Kết quả hoạt động theo bộ phận cho năm kết thúc ngày 31 tháng 12 năm 2022:,Kết quả hoạt động theo bộ phận cho năm kết thúc ngày 31 tháng 12 năm 2022:,Kết quả hoạt động theo bộ phận cho năm kết thúc ngày 31 tháng 12 năm 2022:,,,,,,
,,,Miền Bắc,Miền Trung,Miền Nam,Nước ngoài,Loại trừ,Tổng cộng,,,,,,
Doanh thu,Kết quả hoạt động theo bộ phận cho năm kết thúc ngày 31 tháng 12 năm 2022: > Doanh thu,Doanh thu,85.181.236,5.275.112,23.623.724,341.642,(56.331.881),58.089.833,85181236.0,5275112.0,23623724.0,341642.0,-56331881.0,58089833.0
1. Doanh thu lãi,Kết quả hoạt động theo bộ phận cho năm kết thúc ngày 31 tháng 12 năm 2022: > 1. Doanh thu lãi,1. Doanh thu lãi,69.885.299,4.380.080,21.117.926,282.958,(50.429.552),45.236.711,69885299.0,4380080.0,21117926.0,282958.0,-50429552.0,45236711.0
2. Doanh thu từ hoạt động dịch vụ,Kết quả hoạt động theo bộ phận cho năm kết thúc ngày 31 tháng 12 năm 2022: > 2. Doanh thu từ hoạt động dịch vụ,2. Doanh thu từ hoạt động dịch vụ,2.981.563,129.362,766.916,14.032,(348.661),3.543.212,2981563.0,129362.0,766916.0,14032.0,-348661.0,3543212.0
