row_label_raw,row_label_full,col_0,Năm 2023triệu đồngThu nhập/(Chi phí),Năm 2022triệu đồngThu nhập/(Chi phí),numeric__Năm 2023triệu đồngThu nhập/(Chi phí),numeric__Năm 2022triệu đồngThu nhập/(Chi phí)
Các công ty con,Các công ty con,Các công ty con,Các công ty con,Các công ty con,,
"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")","Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")","Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"")",,,,
- Chi lãi tiền gửi không kỳ hạn và có ký hạn,"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"") > - Chi lãi tiền gửi không kỳ hạn và có ký hạn",- Chi lãi tiền gửi không kỳ hạn và có ký hạn,(6.407),(7.530),-6407.0,-7530.0
- Cổ tức trong năm,"Công ty Cổ phần Quản lý Quỹ Đầu tư MB (""MB Cap"") > - Cổ tức trong năm",- Cổ tức trong năm,14.695,35.268,14695.0,35268.0
"Công ty Cổ phần Chứng khoán MB (""MBS"")","Công ty Cổ phần Chứng khoán MB (""MBS"")","Công ty Cổ phần Chứng khoán MB (""MBS"")",,,,
- Chi phí lãi tiền gửi,"Công ty Cổ phần Chứng khoán MB (""MBS"") > - Chi phí lãi tiền gửi",- Chi phí lãi tiền gửi,(77.308),(65.819),-77308.0,-65819.0
- Chi phí sử dụng dịch vụ của MBS,"Công ty Cổ phần Chứng khoán MB (""MBS"") > - Chi phí sử dụng dịch vụ của MBS",- Chi phí sử dụng dịch vụ của MBS,(15.953),(49.981),-15953.0,-49981.0
"Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"")","Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"")","Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"")",,,,
- Chi phí lãi tiền gửi,"Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"") > - Chi phí lãi tiền gửi",- Chi phí lãi tiền gửi,(7.597),(13.109),-7597.0,-13109.0
- Thu phí dịch vụ,"Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"") > - Thu phí dịch vụ",- Thu phí dịch vụ,95.519,88.868,95519.0,88868.0
"- Chi phí quản lý dự án, định giá và thẩm định tài sản","Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"") > - Chi phí quản lý dự án, định giá và thẩm định tài sản","- Chi phí quản lý dự án, định giá và thẩm định tài sản",(183.289),(125.729),-183289.0,-125729.0
- Chi phí thu hồi nợ và thẩm định,"Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"") > - Chi phí thu hồi nợ và thẩm định",- Chi phí thu hồi nợ và thẩm định,(407.036),(387.070),-407036.0,-387070.0
- Chi phí thuê văn phòng và phí quản lý,"Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"") > - Chi phí thuê văn phòng và phí quản lý",- Chi phí thuê văn phòng và phí quản lý,(98.882),(78.025),-98882.0,-78025.0
- Lợi tức trong năm,"Công ty Quản lý Nợ và Khai thác tài sản Ngân hàng TMCP Quân đội (""MB AMC"") > - Lợi tức trong năm",- Lợi tức trong năm,311.994,257.101,311994.0,257101.0
"Công ty Tài chính TNHH MB Shinsei (""Mcredit"")","Công ty Tài chính TNHH MB Shinsei (""Mcredit"")","Công ty Tài chính TNHH MB Shinsei (""Mcredit"")",,,,
- Thu nhập lãi tiền gửi,"Công ty Tài chính TNHH MB Shinsei (""Mcredit"") > - Thu nhập lãi tiền gửi",- Thu nhập lãi tiền gửi,371.904,296.640,371904.0,296640.0
- Chi phí lãi tiền gửi,"Công ty Tài chính TNHH MB Shinsei (""Mcredit"") > - Chi phí lãi tiền gửi",- Chi phí lãi tiền gửi,(10.334),(14.063),-10334.0,-14063.0
"Tổng Công ty Cổ phần Bảo hiểm Quản đội (""MIC"")","Tổng Công ty Cổ phần Bảo hiểm Quản đội (""MIC"")","Tổng Công ty Cổ phần Bảo hiểm Quản đội (""MIC"")",,,,
- Thu nhập từ hoạt động bảo hiểm,"Tổng Công ty Cổ phần Bảo hiểm Quản đội (""MIC"") > - Thu nhập từ hoạt động bảo hiểm",- Thu nhập từ hoạt động bảo hiểm,75.002,79.007,75002.0,79007.0
- Chi phí lãi tiền gửi,"Tổng Công ty Cổ phần Bảo hiểm Quản đội (""MIC"") > - Chi phí lãi tiền gửi",- Chi phí lãi tiền gửi,(76.148),(50.954),-76148.0,-50954.0
- Chi phí bảo hiểm,"Tổng Công ty Cổ phần Bảo hiểm Quản đội (""MIC"") > - Chi phí bảo hiểm",- Chi phí bảo hiểm,(63.231),(56.685),-63231.0,-56685.0
