row_label_raw,row_label_full,col_0,Dư phòng chung triệu đồng,Dư phòng cụ thể triệu đồng,Tổng cộng triệu đồng,numeric__Dư phòng chung triệu đồng,numeric__Dư phòng cụ thể triệu đồng,numeric__Tổng cộng triệu đồng
Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,Số dư tại ngày 1 tháng 1 năm 2022,2.477.563,5.641.097,8.118.660,2477563.0,5641097.0,8118660.0
Trích lập trong năm (Thuyết minh 35),Trích lập trong năm (Thuyết minh 35),Trích lập trong năm (Thuyết minh 35),735.224,4.312.769,5.047.993,735224.0,4312769.0,5047993.0
Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,Sử dụng dự phòng trong năm,-,(2.216.582),(2.216.582),,-2216582.0,-2216582.0
"Điều chỉnh của Kiểm toán Nhà nước (""KTNN"")","Điều chỉnh của Kiểm toán Nhà nước (""KTNN"")","Điều chỉnh của Kiểm toán Nhà nước (""KTNN"")",(1.505),(240.105),(241.610),-1505.0,-240105.0,-241610.0
Chênh lệch tỷ giá,Chênh lệch tỷ giá,Chênh lệch tỷ giá,(229),(1.612),(1.841),-229.0,-1612.0,-1841.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,3.211.053,7.495.567,10.706.620,3211053.0,7495567.0,10706620.0
