row_label_raw,row_label_full,col_0,2023%/năm,2022%/năm,numeric__2023%/năm,numeric__2022%/năm
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,"2,30 - 6,20","5,00 – 12,00",,
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,"4,50 - 5,50","0,90 – 0,90",,
Cho vay bằng VND,Cho vay bằng VND,Cho vay bằng VND,"2,80 - 3,00","6,00 – 12,00",,
Cho vay bằng ngoại tệ,Cho vay bằng VND > Cho vay bằng ngoại tệ,Cho vay bằng ngoại tệ,"6,28","1,97 – 6,63",6.28,
