row_label_raw,row_label_full,col_0,Căn hộ cho thuê,Căn hộ cho thuê_1,numeric__Căn hộ cho thuê,numeric__Căn hộ cho thuê_1
,,,VND,Cộng VND,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,193.090.904.450,193.090.904.450,193090904450.0,193090904450.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,39.008.794.895,39.008.794.895,39008794895.0,39008794895.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,232.099.699.345,232.099.699.345,232099699345.0,232099699345.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,
Số dư đầu năm,HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,4.134.005.583,4.134.005.583,4134005583.0,4134005583.0
Khấu hao trong năm,HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,9.446.151.254,9.446.151.254,9446151254.0,9446151254.0
Số dư cuối năm,HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,13.580.156.837,13.580.156.837,13580156837.0,13580156837.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,
Số dư đầu năm,GIÁ TRỊ CÒN LẠI > Số dư đầu năm,Số dư đầu năm,188.956.898.867,188.956.898.867,188956898867.0,188956898867.0
Số dư cuối năm,GIÁ TRỊ CÒN LẠI > Số dư cuối năm,Số dư cuối năm,218.519.542.508,218.519.542.508,218519542508.0,218519542508.0
