row_label_raw,row_label_full,Công ty cổ phần đầu tư dịch vụ Thành Nam (**),Số cuối năm > Giá gốc > -,Số cuối năm > Giá trị hợp lý > -,Số đầu năm > Giá gốc > 288.000.000.000,Số đầu năm > Giá trị hợp lý > 292.866.784.049,numeric__Số cuối năm > Giá gốc > -,numeric__Số cuối năm > Giá trị hợp lý > -,numeric__Số đầu năm > Giá gốc > 288.000.000.000,numeric__Số đầu năm > Giá trị hợp lý > 292.866.784.049
Công ty CP- Tập đoàn Bất động sản CRV (*),Công ty CP- Tập đoàn Bất động sản CRV (*),Công ty CP- Tập đoàn Bất động sản CRV (*),2.872.950.000.000,3.035.801.167.729,-,-,2872950000000.0,3035801167729.0,,
Công ty CP phát triển dịch vụ Trường Giang (**),Công ty CP phát triển dịch vụ Trường Giang (**),Công ty CP phát triển dịch vụ Trường Giang (**),-,-,135.800.000.000,137.903.298.917,,,135800000000.0,137903298917.0
Cộng,Cộng,Cộng,2.872.950.000.000,3.035.801.167.729,423.800.000.000,430.770.082.966,2872950000000.0,3035801167729.0,423800000000.0,430770082966.0
