row_label_raw,row_label_full,col_0,Nhà cửa vật kiến trúc VND,Máy móc thiết bị VND,Phương tiện vận tải VND,Thiết bị quản lý VND,Cộng VND,numeric__Nhà cửa vật kiến trúc VND,numeric__Máy móc thiết bị VND,numeric__Phương tiện vận tải VND,numeric__Thiết bị quản lý VND,numeric__Cộng VND
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,14.425.421.069,1.309.784.122,13.529.862.417,651.176.071,29.916.243.679,14425421069.0,1309784122.0,13529862417.0,651176071.0,29916243679.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,"324,045,374",8.524.940.000,-,8.848.985.374,,,8524940000.0,,8848985374.0
Thanh lý nhượng bán,NGUYÊN GIÁ > Thanh lý nhượng bán,Thanh lý nhượng bán,-,-,(2.998.324.000),-,(2.998.324.000),,,-2998324000.0,,-2998324000.0
Số cuối năm,NGUYÊN GIÁ > Số cuối năm,Số cuối năm,14.425.421.069,1.633.829.496,19.056.478.417,651.176.071,35.766.905.053,14425421069.0,1633829496.0,19056478417.0,651176071.0,35766905053.0
HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,HAO MÒN LỦY KẾ,,,,,
Số đầu năm,HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,1.363.702.665,510.979.842,9.585.213.229,553.996.643,12.013.892.379,1363702665.0,510979842.0,9585213229.0,553996643.0,12013892379.0
Khấu hao trong năm,HAO MÒN LỦY KẾ > Khấu hao trong năm,Khấu hao trong năm,440.011.534,433.965.890,1.852.446.740,42.132.468,2.768.556.632,440011534.0,433965890.0,1852446740.0,42132468.0,2768556632.0
Thanh lý nhượng bán,HAO MÒN LỦY KẾ > Thanh lý nhượng bán,Thanh lý nhượng bán,-,-,(1.712.902.099),-,(1.712.902.099),,,-1712902099.0,,-1712902099.0
Số cuối năm,HAO MÒN LỦY KẾ > Số cuối năm,Số cuối năm,1.803.714.199,944.945.732,9.724.757.870,596.129.111,13.069.546.912,1803714199.0,944945732.0,9724757870.0,596129111.0,13069546912.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,
Số đầu năm,GIÁ TRỊ CÒN LẠI > Số đầu năm,Số đầu năm,13.061.718.404,798.804.280,3.944.649.188,97.179.428,17.902.351.300,13061718404.0,798804280.0,3944649188.0,97179428.0,17902351300.0
Số cuối năm,GIÁ TRỊ CÒN LẠI > Số cuối năm,Số cuối năm,12.621.706.870,688.883.764,9.331.720.547,55.046.960,22.697.358.141,12621706870.0,688883764.0,9331720547.0,55046960.0,22697358141.0
