row_label_raw,row_label_full,1.Tiền mua lại cổ phiếu đã phát hành,32,134.749.964.200,-,numeric__32,numeric__134.749.964.200,numeric__-
"2.Cổ tức, lợi nhuận đã trả cho chủ sở hữu","2.Cổ tức, lợi nhuận đã trả cho chủ sở hữu","2.Cổ tức, lợi nhuận đã trả cho chủ sở hữu",36,(110.196.875.200),-,36.0,-110196875200.0,
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,24.553.089.000,-,40.0,24553089000.0,
Lưu chuyển tiền thuần trong năm (50 = 20+30+40),Lưu chuyển tiền thuần trong năm (50 = 20+30+40),Lưu chuyển tiền thuần trong năm (50 = 20+30+40),50,25.493.353.470,33.576.991.244,50.0,25493353470.0,33576991244.0
Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,Tiền và tương đương tiền đầu năm,60,117.605.117.577,84.028.754.072,60.0,117605117577.0,84028754072.0
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,61,(87.965),(627.739),61.0,-87965.0,-627739.0
Tiền và tương đương tiền cuối năm (70 = 50+60+61),Tiền và tương đương tiền cuối năm (70 = 50+60+61),Tiền và tương đương tiền cuối năm (70 = 50+60+61),70,143.098.383.082,117.605.117.577,70.0,143098383082.0,117605117577.0
