row_label_raw,row_label_full,col_0,Năm nayVND,Năm trướcVND,numeric__Năm nayVND,numeric__Năm trướcVND
Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,Vốn đầu tư của chủ sở hữu,-,-,,
- Vốn góp đầu năm,Vốn đầu tư của chủ sở hữu > - Vốn góp đầu năm,- Vốn góp đầu năm,2.747.440.630.000,2.747.440.630.000,2747440630000.0,2747440630000.0
- Vốn góp tăng trong năm,- Vốn góp tăng trong năm,- Vốn góp tăng trong năm,-,-,,
- Vốn góp giảm trong năm,- Vốn góp giảm trong năm,- Vốn góp giảm trong năm,-,-,,
- Vốn góp cuối năm,- Vốn góp giảm trong năm > - Vốn góp cuối năm,- Vốn góp cuối năm,2.747.440.630.000,2.747.440.630.000,2747440630000.0,2747440630000.0
"Cổ tức, lợi nhuận đã chia","- Vốn góp giảm trong năm > Cổ tức, lợi nhuận đã chia","Cổ tức, lợi nhuận đã chia",109.897.625.200,-,109897625200.0,
Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,Cổ phiếu,,
,,,Số cuối nămCổ phiếu,Số đầu nămCổ phiếu,,
Số lượng cổ phiếu đăng ký phát hành,Cổ phiếu > Số lượng cổ phiếu đăng ký phát hành,Số lượng cổ phiếu đăng ký phát hành,274.744.063,274.744.063,274744063.0,274744063.0
Số lượng cổ phiếu đã bán ra công chúng,Cổ phiếu > Số lượng cổ phiếu đã bán ra công chúng,Số lượng cổ phiếu đã bán ra công chúng,274.744.063,274.744.063,274744063.0,274744063.0
- Cổ phiếu phổ thông,Cổ phiếu > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,274.744.063,274.744.063,274744063.0,274744063.0
Số lượng cổ phiếu được mua lại (cổ phiếu quỹ),Cổ phiếu > Số lượng cổ phiếu được mua lại (cổ phiếu quỹ),Số lượng cổ phiếu được mua lại (cổ phiếu quỹ),-,25.000.000,,25000000.0
- Cổ phiếu phổ thông,Cổ phiếu > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,-,25.000.000,,25000000.0
Số lượng cổ phiếu đang lưu hành,Cổ phiếu > Số lượng cổ phiếu đang lưu hành,Số lượng cổ phiếu đang lưu hành,274.744.063,249.744.063,274744063.0,249744063.0
- Cổ phiếu phổ thông,Cổ phiếu > - Cổ phiếu phổ thông,- Cổ phiếu phổ thông,274.744.063,249.744.063,274744063.0,249744063.0
Mệnh giá cổ phiếu đang lưu hành (VND),Cổ phiếu > Mệnh giá cổ phiếu đang lưu hành (VND),Mệnh giá cổ phiếu đang lưu hành (VND),10.000,10.000,10000.0,10000.0
