row_label_raw,row_label_full,col_0,Số đầu năm,Số phải thu nộp trong năm,Số đã thực thu nộp trong năm,Số cuối năm,numeric__Số đầu năm,numeric__Số phải thu nộp trong năm,numeric__Số đã thực thu nộp trong năm,numeric__Số cuối năm
,,,VND,VND,VND,VND,,,,
Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,Phải thu,,,,
Thuế GTGT,Phải thu > Thuế GTGT,Thuế GTGT,233.856.158,-,-,233.856.158,233856158.0,,,233856158.0
Cộng,Phải thu > Cộng,Cộng,233.856.158,-,-,233.856.158,233856158.0,,,233856158.0
Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,Phải nộp,,,,
Thuế GTGT,Phải nộp > Thuế GTGT,Thuế GTGT,,6.825.507.467,6.787.162.010,38.345.457,,6825507467.0,6787162010.0,38345457.0
Thuế NK,Phải nộp > Thuế NK,Thuế NK,-,15.542.014.073,15.542.014.073,-,,15542014073.0,15542014073.0,
Thuế TNDN,Phải nộp > Thuế TNDN,Thuế TNDN,9.004.931.825,21.918.534.268,27.807.388.957,3.116.077.136,9004931825.0,21918534268.0,27807388957.0,3116077136.0
Thuế TNCN,Phải nộp > Thuế TNCN,Thuế TNCN,99.538.335,3.036.778.828,3.057.983.213,78.333.950,99538335.0,3036778828.0,3057983213.0,78333950.0
Các loại thuế khác,Phải nộp > Các loại thuế khác,Các loại thuế khác,-,15.434.299,15.434.299,-,,15434299.0,15434299.0,
Cộng,Phải nộp > Cộng,Cộng,9.104.470.160,47.338.268.935,53.209.982.552,3.232.756.543,9104470160.0,47338268935.0,53209982552.0,3232756543.0
