row_label_raw,row_label_full,Chỉ tiêu,Miền Bắc VND,Miền Trung VND,Miền Nam VND,Cộng VND,numeric__Miền Bắc VND,numeric__Miền Trung VND,numeric__Miền Nam VND,numeric__Cộng VND
1. Doanh thu thuần,1. Doanh thu thuần,1. Doanh thu thuần,219.840.718.543,4.204.545.455,381.436.742.563,605.482.006.561,219840718543.0,4204545455.0,381436742563.0,605482006561.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,147.676.425.657,4.204.545.455,381.436.742.563,533.317.713.675,147676425657.0,4204545455.0,381436742563.0,533317713675.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,26.318.147.147,-,-,26.318.147.147,26318147147.0,,,26318147147.0
- Doanh thu khác,- Doanh thu khác,- Doanh thu khác,45.846.145.739,-,-,45.846.145.739,45846145739.0,,,45846145739.0
2. Giá vốn,2. Giá vốn,2. Giá vốn,155.476.984.348,3.742.536.454,367.695.974.258,526.915.495.060,155476984348.0,3742536454.0,367695974258.0,526915495060.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,137.655.211.249,3.742.536.454,367.695.974.258,509.093.721.961,137655211249.0,3742536454.0,367695974258.0,509093721961.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,17.821.773.099,-,-,17.821.773.099,17821773099.0,,,17821773099.0
3. Lợi nhuận gộp,3. Lợi nhuận gộp,3. Lợi nhuận gộp,64.363.734.195,462.009.001,13.740.768.305,78.566.511.501,64363734195.0,462009001.0,13740768305.0,78566511501.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,10.021.214.408,462.009.001,13.740.768.305,24.223.991.714,10021214408.0,462009001.0,13740768305.0,24223991714.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,8.496.374.048,-,-,8.496.374.048,8496374048.0,,,8496374048.0
- Hoạt động khác,- Hoạt động khác,- Hoạt động khác,45.846.145.739,-,-,45.846.145.739,45846145739.0,,,45846145739.0
4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,4. Lợi nhuận trước thuế,255.047.636.316,553.615.220,50.224.022.612,305.825.274.148,255047636316.0,553615220.0,50224022612.0,305825274148.0
- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,- Kinh doanh ô tô tải và đầu kéo,19.444.650.485,553.615.220,50.224.022.612,70.222.288.317,19444650485.0,553615220.0,50224022612.0,70222288317.0
- Kinh doanh BĐS,- Kinh doanh BĐS,- Kinh doanh BĐS,24.091.565.501,-,-,24.091.565.501,24091565501.0,,,24091565501.0
- Hoạt động khác,- Hoạt động khác,- Hoạt động khác,45.846.145.739,-,-,45.846.145.739,45846145739.0,,,45846145739.0
- Lợi nhuận khác,- Lợi nhuận khác,- Lợi nhuận khác,165.665.274.591,-,-,165.665.274.591,165665274591.0,,,165665274591.0
