row_label_raw,row_label_full,Số đầu năm > Trích quỹ trong năm (Thuyết minh số 23.1) > Sử dụng quỹ trong năm,Số cuối năm > 35.315.305.834 > 42.470.224.263 > (41.545.939.646),Đơn vị tính: VND > Số đầu năm > 34.194.268.483 > 36.428.718.986 > (31.255.303.732),numeric__Số cuối năm > 35.315.305.834 > 42.470.224.263 > (41.545.939.646),numeric__Đơn vị tính: VND > Số đầu năm > 34.194.268.483 > 36.428.718.986 > (31.255.303.732)
Giảm khác,Giảm khác,Giảm khác,-,(4.052.377.903),,-4052377903.0
Số cuối năm,Số cuối năm,Số cuối năm,36.239.590.451,35.315.305.834,36239590451.0,35315305834.0
