row_label_raw,row_label_full,col_0,Số cuối năm,Số cuối năm > Giá trị,Đơn vị tính: VND > Dự phòng,Đơn vị tính: VND > Giá trị,numeric__Số cuối năm,numeric__Số cuối năm > Giá trị,numeric__Đơn vị tính: VND > Dự phòng,numeric__Đơn vị tính: VND > Giá trị
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Phải thu về lãi tiền gửi,Ngắn hạn > Phải thu về lãi tiền gửi,Phải thu về lãi tiền gửi,66.066.636.198,-,53.346.600.158,-,66066636198.0,,53346600158.0,
Phải thu các đội thi công và xưởng chế biến khai thác,Ngắn hạn > Phải thu các đội thi công và xưởng chế biến khai thác,Phải thu các đội thi công và xưởng chế biến khai thác,17.538.932.881,(16.368.641.409),18.115.076.657,(16.516.984.522),17538932881.0,-16368641409.0,18115076657.0,-16516984522.0
Tạm ứng cho cán bộ công nhân viên,Ngắn hạn > Tạm ứng cho cán bộ công nhân viên,Tạm ứng cho cán bộ công nhân viên,11.389.447.714,-,7.347.038.786,-,11389447714.0,,7347038786.0,
Phải thu ngắn hạn khác,Ngắn hạn > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,16.207.104.087,(4.536.300.983),13.167.673.272,(2.243.979.449),16207104087.0,-4536300983.0,13167673272.0,-2243979449.0
Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),Ngắn hạn > Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),Phải thu ngắn hạn khác từ các bên liên quan (Thuyết minh số 33),20.035.451.705,-,1.103.811.705,-,20035451705.0,,1103811705.0,
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,131.237.572.585,(20.904.942.392),93.080.200.578,(18.760.963.971),131237572585.0,-20904942392.0,93080200578.0,-18760963971.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
"Ký quỹ, ký cược dài hạn","Dài hạn > Ký quỹ, ký cược dài hạn","Ký quỹ, ký cược dài hạn",996.523.177,-,1.551.540.870,-,996523177.0,,1551540870.0,
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,996.523.177,-,1.551.540.870,-,996523177.0,,1551540870.0,
