row_label_raw,row_label_full,Năm trước > Số đầu năm > - Tăng trong năm > - Lợi nhuận thuần trong năm,Vốn góp của chủ sở hữu > Năm trước > 3.500.000.000.000 > -,Vốn khác thuộc chủ sở hữu > Năm trước > 9.015.428.100 > -,Chênh lệch tỷ giá hối đoái > Năm trước > (1.251.080.493) > -,Quỹ đầu tư phát triển > Năm trước > 246.418.564.812 > -,Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 48.852.285 > -,Lợi nhuận sau thuế chưa phần phối > Năm trước > 981.402.331.300 > - > 475.484.163.399,Lợi ích cổ đông không kiểm soát > Năm trước > 82.307.985.213 > 10.994.250.000 > 8.898.531.744,Đơn vị tính: VND Tổng cộng > Năm trước > 4.817.942.081.217 > 10.994.250.000 > 484.382.695.143,numeric__Vốn góp của chủ sở hữu > Năm trước > 3.500.000.000.000 > -,numeric__Vốn khác thuộc chủ sở hữu > Năm trước > 9.015.428.100 > -,numeric__Chênh lệch tỷ giá hối đoái > Năm trước > (1.251.080.493) > -,numeric__Quỹ đầu tư phát triển > Năm trước > 246.418.564.812 > -,numeric__Quỹ khác thuộc vốn chủ sở hữu > Năm trước > 48.852.285 > -,numeric__Lợi nhuận sau thuế chưa phần phối > Năm trước > 981.402.331.300 > - > 475.484.163.399,numeric__Lợi ích cổ đông không kiểm soát > Năm trước > 82.307.985.213 > 10.994.250.000 > 8.898.531.744,numeric__Đơn vị tính: VND Tổng cộng > Năm trước > 4.817.942.081.217 > 10.994.250.000 > 484.382.695.143
- Chia cổ tức,- Chia cổ tức,- Chia cổ tức,-,-,-,-,-,(227.150.000.000),(1.766.594.140),(228.916.594.140),,,,,,-227150000000.0,-1766594140.0,-228916594140.0
"- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS","- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS","- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS",-,-,-,-,-,(34.972.545.142),(1.456.173.844),(36.428.718.986),,,,,,-34972545142.0,-1456173844.0,-36428718986.0
- Giảm trích lập quỹ đầu tư phát triển,- Giảm trích lập quỹ đầu tư phát triển,- Giảm trích lập quỹ đầu tư phát triển,-,-,-,(32.407.444.487),-,32.407.444.487,-,-,,,,-32407444487.0,,32407444487.0,,
- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,-,21.960.696.212,-,(17.908.318.309),-,4.052.377.903,,,,21960696212.0,,-17908318309.0,,4052377903.0
- Giảm khác,- Giảm khác,- Giảm khác,-,-,(8.983.884.454),-,-,(1.555.002.553),(327.245.889),(10.866.132.896),,,-8983884454.0,,,-1555002553.0,-327245889.0,-10866132896.0
Số cuối năm,Số cuối năm,Số cuối năm,3.500.000.000.000,9.015.428.100,(10.234.964.947),235.971.816.537,48.852.285,1.207.708.073.182,98.650.753.084,5.041.159.958.241,3500000000000.0,9015428100.0,-10234964947.0,235971816537.0,48852285.0,1207708073182.0,98650753084.0,5041159958241.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.500.000.000.000,9.015.428.100,(10.234.964.947),235.971.816.537,48.852.285,1.207.708.073.182,98.650.753.084,5.041.159.958.241,3500000000000.0,9015428100.0,-10234964947.0,235971816537.0,48852285.0,1207708073182.0,98650753084.0,5041159958241.0
- Lợi nhuận thuần trong năm,Năm nay > - Lợi nhuận thuần trong năm,- Lợi nhuận thuần trong năm,-,-,-,-,-,291.873.353.758,(16.049.184.690),275.824.169.068,,,,,,291873353758.0,-16049184690.0,275824169068.0
- Chia cổ tức (*),Năm nay > - Chia cổ tức (*),- Chia cổ tức (*),-,-,-,-,-,(289.100.000.000),(2.832.981.814),(291.932.981.814),,,,,,-289100000000.0,-2832981814.0,-291932981814.0
"- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS (*)","Năm nay > - Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS (*)","- Trích quỹ khen thưởng phúc lợi, khen thưởng HĐQT, BĐH, BKS (*)",-,-,-,-,-,(42.609.153.804),(1.820.918.435),(44.430.072.239),,,,,,-42609153804.0,-1820918435.0,-44430072239.0
- Trích quỹ đầu tư phát triển,Năm nay > - Trích quỹ đầu tư phát triển,- Trích quỹ đầu tư phát triển,-,-,-,4.622.077.085,-,(4.622.077.085),-,-,,,,4622077085.0,,-4622077085.0,,
- Điều chỉnh khác,Năm nay > - Điều chỉnh khác,- Điều chỉnh khác,-,-,(2.083.932.034),3.920.171.732,-,(3.744.202.259),-,(1.907.962.561),,,-2083932034.0,3920171732.0,,-3744202259.0,,-1907962561.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.500.000.000.000,9.015.428.100,(12.318.896.981),244.514.065.354,48.852.285,1.159.505.993.792,77.947.668.145,4.978.713.110.695,3500000000000.0,9015428100.0,-12318896981.0,244514065354.0,48852285.0,1159505993792.0,77947668145.0,4978713110695.0
