row_label_raw,row_label_full,col_0,Công ty Cổ phần19/5 Doan Hùng,Công ty Cổ phầnCờ Đỏ,Công ty Cổ phầnGỗ lạng Buôn MaThuột,Công ty Cổ phầnKon Hà Nùng,Công ty Cổ phầnLâm đặcsản Mây trexuất khấu,Công ty Cổ phầnLâm nghiệp 19,Công ty Cổ phầnCơ khí Lâmnghiệp Sài Gòn,numeric__Công ty Cổ phần19/5 Doan Hùng,numeric__Công ty Cổ phầnCờ Đỏ,numeric__Công ty Cổ phầnGỗ lạng Buôn MaThuột,numeric__Công ty Cổ phầnKon Hà Nùng,numeric__Công ty Cổ phầnLâm đặcsản Mây trexuất khấu,numeric__Công ty Cổ phầnLâm nghiệp 19,numeric__Công ty Cổ phầnCơ khí Lâmnghiệp Sài Gòn
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,2.139.792.559,11.525.782.967,2.570.995.921,1.945.917.957,1.115.926.139,8.054.284.341,3.169.651.235,2139792559.0,11525782967.0,2570995921.0,1945917957.0,1115926139.0,8054284341.0,3169651235.0
Biến động trong năm,Biến động trong năm,Biến động trong năm,-,-,-,-,-,-,-,,,,,,,
Số cuối năm,Biến động trong năm > Số cuối năm,Số cuối năm,2.139.792.559,11.525.782.967,2.570.995.921,1.945.917.957,1.115.926.139,8.054.284.341,3.169.651.235,2139792559.0,11525782967.0,2570995921.0,1945917957.0,1115926139.0,8054284341.0,3169651235.0
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,317.029.441,2.375.106.630,335.699.798,1.044.291.194,187.705.275,4.052.399.203,(3.169.651.235),317029441.0,2375106630.0,335699798.0,1044291194.0,187705275.0,4052399203.0,-3169651235.0
Biến động trong năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Biến động trong năm,Biến động trong năm,50.447.249,(282.579.685),(41.275.914),(263.113.947),25.271.056,581.509.005,-,50447249.0,-282579685.0,-41275914.0,-263113947.0,25271056.0,581509005.0,
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,367.476.690,2.092.526.945,294.423.884,781.177.247,212.976.331,4.633.908.208,(3.169.651.235),367476690.0,2092526945.0,294423884.0,781177247.0,212976331.0,4633908208.0,-3169651235.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,2.456.822.000,13.900.889.597,2.906.695.719,2.990.209.151,1.303.631.414,12.106.683.544,-,2456822000.0,13900889597.0,2906695719.0,2990209151.0,1303631414.0,12106683544.0,
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,2.507.269.249,13.618.309.912,2.865.419.805,2.727.095.204,1.328.902.470,12.688.192.549,-,2507269249.0,13618309912.0,2865419805.0,2727095204.0,1328902470.0,12688192549.0,
