row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Cổ tức, lợi nhuận phải trả","Ngắn hạn > Cổ tức, lợi nhuận phải trả","Cổ tức, lợi nhuận phải trả",1.959.241.185,1.529.348.500,1959241185.0,1529348500.0
Phải trả các thầu phụ,Ngắn hạn > Phải trả các thầu phụ,Phải trả các thầu phụ,16.328.132.246,15.402.590.370,16328132246.0,15402590370.0
"Nhận ký quỹ, ký cược","Ngắn hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",11.521.095.329,11.874.076.710,11521095329.0,11874076710.0
Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Ngắn hạn > Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,Phải trả Ban Thanh lý Xí nghiệp Phú Lâm,6.843.144.499,6.551.503.825,6843144499.0,6551503825.0
"Kinh phí đo đạc, cắm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)","Ngắn hạn > Kinh phí đo đạc, cắm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)","Kinh phí đo đạc, cắm mốc, cấp giấy chứng nhận quyền sử dụng đất (*)",1.620.147.547,3.127.120.559,1620147547.0,3127120559.0
"Các khoản phải trả, phải nộp khác","Ngắn hạn > Các khoản phải trả, phải nộp khác","Các khoản phải trả, phải nộp khác",15.023.610.965,16.510.231.234,15023610965.0,16510231234.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,53.295.371.771,54.994.871.198,53295371771.0,54994871198.0
Dải hạn,Dải hạn,Dải hạn,Dải hạn,Dải hạn,,
"Nhận ký quỹ, ký cược","Dải hạn > Nhận ký quỹ, ký cược","Nhận ký quỹ, ký cược",21.619.332.589,19.385.767.963,21619332589.0,19385767963.0
Phải trả dài hạn khác,Dải hạn > Phải trả dài hạn khác,Phải trả dài hạn khác,2.322.722.424,2.065.969.179,2322722424.0,2065969179.0
Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 33),Dải hạn > Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 33),Phải trả dài hạn khác cho bên liên quan (Thuyết minh số 33),1.215.535.680,1.215.535.680,1215535680.0,1215535680.0
TỔNG CỘNG,Dải hạn > TỔNG CỘNG,TỔNG CỘNG,25.157.590.693,22.667.272.822,25157590693.0,22667272822.0
