row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúc","Máy móc,thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản cố địnhkhác,Đơn vị tính: VNDTổng cộng,"numeric__Nhà cửa,vật kiến trúc","numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản cố địnhkhác,numeric__Đơn vị tính: VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
"Số đầu năm- Mua trong năm- Đầu tư xây dựng cơ bảnhoản thành- Thanh lý, nhượng bán- Giảm khác","Số đầu năm- Mua trong năm- Đầu tư xây dựng cơ bảnhoản thành- Thanh lý, nhượng bán- Giảm khác","Số đầu năm- Mua trong năm- Đầu tư xây dựng cơ bảnhoản thành- Thanh lý, nhượng bán- Giảm khác",395.243.539.348-22.521.267.226-(468.202.823),472.231.641.8364.073.675.08726.748.219.700(2.237.621.985)-,68.790.721.3985.910.785.233--(2.762.624.907)-,64.407.222.835814.746.0366.484.186.976(32.486.000)-,11.573.085.230-250.194.924(1.740.313.468)-,1.012.246.210.64710.799.206.35656.003.868.826(6.773.046.360)(468.202.823),,,,,,
Số cuối năm,"Số đầu năm- Mua trong năm- Đầu tư xây dựng cơ bảnhoản thành- Thanh lý, nhượng bán- Giảm khác > Số cuối năm",Số cuối năm,417.296.603.751,500.815.914.638,71.938.881.724,71.673.669.847,10.082.966.686,1.071.808.036.646,417296603751.0,500815914638.0,71938881724.0,71673669847.0,10082966686.0,1071808036646.0
Trong đó:Đã khấu hao hết,"Số đầu năm- Mua trong năm- Đầu tư xây dựng cơ bảnhoản thành- Thanh lý, nhượng bán- Giảm khác > Trong đó:Đã khấu hao hết",Trong đó:Đã khấu hao hết,127.724.728.406,320.327.259.727,25.321.756.292,60.026.852.601,1.514.963.542,534.915.560.568,127724728406.0,320327259727.0,25321756292.0,60026852601.0,1514963542.0,534915560568.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
"Số đầu năm- Khâu hao trong năm- Tăng khác- Thanh lý, nhượng bán- Giảm khác","Số đầu năm- Khâu hao trong năm- Tăng khác- Thanh lý, nhượng bán- Giảm khác","Số đầu năm- Khâu hao trong năm- Tăng khác- Thanh lý, nhượng bán- Giảm khác",294.577.543.24710.040.962.53712.476.500-(468.697.823),413.159.345.77414.478.941.701-(2.237.621.985)-,51.016.926.6695.124.683.051-(2.762.624.907)-,62.459.737.2211.551.312.844-(32.486.000)-,7.278.829.248771.761.936-(1.727.554.113)-,828.492.382.15931.967.662.06912.476.500(6.760.287.005)(468.697.823),,,,,,
Số cuối năm,"Số đầu năm- Khâu hao trong năm- Tăng khác- Thanh lý, nhượng bán- Giảm khác > Số cuối năm",Số cuối năm,304.162.284.461,425.400.665.490,53.378.984.813,63.978.564.065,6.323.037.071,853.243.535.900,304162284461.0,425400665490.0,53378984813.0,63978564065.0,6323037071.0,853243535900.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,100.665.996.101,59.072.296.062,17.773.794.729,1.947.485.614,4.294.255.982,183.753.828.488,100665996101.0,59072296062.0,17773794729.0,1947485614.0,4294255982.0,183753828488.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,113.134.319.290,75.415.249.148,18.559.896.911,7.695.105.782,3.759.929.615,218.564.500.746,113134319290.0,75415249148.0,18559896911.0,7695105782.0,3759929615.0,218564500746.0
