row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VND > Năm trước,numeric__Năm nay,numeric__Đơn vị tính: VND > Năm trước
Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,Thu nhập khác,,
"Thu nhập từ tiền đến bù, bồi thường","Thu nhập khác > Thu nhập từ tiền đến bù, bồi thường","Thu nhập từ tiền đến bù, bồi thường",645.795.968,494.261.400,645795968.0,494261400.0
"Lãi từ thanh lý, nhượng bán tài sản cố định","Thu nhập khác > Lãi từ thanh lý, nhượng bán tài sản cố định","Lãi từ thanh lý, nhượng bán tài sản cố định",857.292.611,867.084.981,857292611.0,867084981.0
Hoàn nhập dự phòng phải thu khó đòi,Thu nhập khác > Hoàn nhập dự phòng phải thu khó đòi,Hoàn nhập dự phòng phải thu khó đòi,900.000.000,-,900000000.0,
Thu nhập khác,Thu nhập khác > Thu nhập khác,Thu nhập khác,7.243.088.839,4.860.382.425,7243088839.0,4860382425.0
TỔNG CỘNG,Thu nhập khác > TỔNG CỘNG,TỔNG CỘNG,9.646.177.418,6.221.728.806,9646177418.0,6221728806.0
Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,Chi phí khác,,
Chi phí khấu hao tài sản cố định dùng hoạt động,Chi phí khác > Chi phí khấu hao tài sản cố định dùng hoạt động,Chi phí khấu hao tài sản cố định dùng hoạt động,4.374.701.947,4.324.600.820,4374701947.0,4324600820.0
Các khoản tiền phạt,Chi phí khác > Các khoản tiền phạt,Các khoản tiền phạt,182.986.924,491.642.775,182986924.0,491642775.0
Chi phí khác,Chi phí khác > Chi phí khác,Chi phí khác,1.176.974.273,1.522.986.701,1176974273.0,1522986701.0
TỔNG CỘNG,Chi phí khác > TỔNG CỘNG,TỔNG CỘNG,5.734.663.144,6.339.230.296,5734663144.0,6339230296.0
LỢI NHUẬN/(LỔ) KHÁC THUÀN,Chi phí khác > LỢI NHUẬN/(LỔ) KHÁC THUÀN,LỢI NHUẬN/(LỔ) KHÁC THUÀN,3.911.514.274,(117.501.490),3911514274.0,-117501490.0
