row_label_raw,row_label_full,col_0,Nhà cửa,Máy móc thiết bị,Quyền sử dụng đất,Đơn vị tính: VND,numeric__Nhà cửa,numeric__Máy móc thiết bị,numeric__Quyền sử dụng đất,numeric__Đơn vị tính: VND
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,254.757.180.593,50.854.067.382,2.330.218.560,307.941.466.535,254757180593.0,50854067382.0,2330218560.0,307941466535.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,254.757.180.593,50.854.067.382,2.330.218.560,307.941.466.535,254757180593.0,50854067382.0,2330218560.0,307941466535.0
Trong đó: Đã khấu hao hết,Nguyên giá: > Trong đó: Đã khấu hao hết,Trong đó: Đã khấu hao hết,-,18.855.051.329,-,18.855.051.329,,18855051329.0,,18855051329.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,77.782.531.103,50.099.134.749,-,127.881.665.852,77782531103.0,50099134749.0,,127881665852.0
- Khấu hao trong năm,Giá trị khấu hao lũy kế: > - Khấu hao trong năm,- Khấu hao trong năm,8.982.223.701,2.669.950.857,-,11.652.174.558,8982223701.0,2669950857.0,,11652174558.0
- Phân loại lại,Giá trị khấu hao lũy kế: > - Phân loại lại,- Phân loại lại,2.733.798.520,(2.733.798.520),-,-,2733798520.0,-2733798520.0,,
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,89.498.553.324,50.035.287.086,-,139.533.840.410,89498553324.0,50035287086.0,,139533840410.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,176.974.649.490,754.932.633,2.330.218.560,180.059.800.683,176974649490.0,754932633.0,2330218560.0,180059800683.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,165.258.627.269,818.780.296,2.330.218.560,168.407.626.125,165258627269.0,818780296.0,2330218560.0,168407626125.0
