row_label_raw,row_label_full,col_0,Số cuối năm,Đơn vị tính: VND > Số đầu năm,numeric__Số cuối năm,numeric__Đơn vị tính: VND > Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,
"Chi phí công cụ, dụng cụ phân bổ","Ngắn hạn > Chi phí công cụ, dụng cụ phân bổ","Chi phí công cụ, dụng cụ phân bổ",427.978.632,464.055.225,427978632.0,464055225.0
Chi phí bảo hiểm,Ngắn hạn > Chi phí bảo hiểm,Chi phí bảo hiểm,451.032.487,289.672.028,451032487.0,289672028.0
Chi phí trả trước ngắn hạn khác,Ngắn hạn > Chi phí trả trước ngắn hạn khác,Chi phí trả trước ngắn hạn khác,986.344.852,1.250.689.062,986344852.0,1250689062.0
TỔNG CỘNG,Ngắn hạn > TỔNG CỘNG,TỔNG CỘNG,1.865.355.971,2.004.416.315,1865355971.0,2004416315.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,
Tiền thuê đất trả trước,Dài hạn > Tiền thuê đất trả trước,Tiền thuê đất trả trước,39.406.549.325,40.854.362.295,39406549325.0,40854362295.0
Chi phí sửa chữa tài sản cố định,Dài hạn > Chi phí sửa chữa tài sản cố định,Chi phí sửa chữa tài sản cố định,10.479.876.593,18.200.913.446,10479876593.0,18200913446.0
Công cụ dụng cụ phân bổ,Dài hạn > Công cụ dụng cụ phân bổ,Công cụ dụng cụ phân bổ,2.611.982.246,1.457.936.922,2611982246.0,1457936922.0
Chi phí trả trước dài hạn khác,Dài hạn > Chi phí trả trước dài hạn khác,Chi phí trả trước dài hạn khác,1.387.520.782,6.790.131.340,1387520782.0,6790131340.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,53.885.928.946,67.303.344.003,53885928946.0,67303344003.0
