row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Dự phòng,Số cuối năm > Giá trị hợp lý,Số đầu năm > Giá gốc,Số đầu năm > Dự phòng,Số đầu năm > Giá trị hợp lý,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Dự phòng,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Dự phòng,numeric__Số đầu năm > Giá trị hợp lý
Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,Đầu tư vào công ty liên kết,1.249.484.292.864,-,1.249.484.292.864,1.302.965.263.822,-,1.302.965.263.822,1249484292864.0,,1249484292864.0,1302965263822.0,,1302965263822.0
Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,Đầu tư góp vốn vào đơn vị khác,16.024.861.978,-,16.024.861.978,16.024.861.978,-,16.024.861.978,16024861978.0,,16024861978.0,16024861978.0,,16024861978.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,1.265.509.154.842,-,1.265.509.154.842,1.318.990.125.800,-,1.318.990.125.800,1265509154842.0,,1265509154842.0,1318990125800.0,,1318990125800.0
