row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Ngoại thương - Chi nhánh Thành phố Hồ Chí Minh,Số cuối năm(VND) > 3.308.952.078,Kỳ hạn trả gốc và lãi > Thời hạn cho vay 60 tháng kể từ ngày giải ngân vốn lần đầu là ngày 9 tháng 3 năm 2021. Lãi vay trả hàng tháng.,"Lãi suất > Lãi suất huy động tiết kiệm VND cá nhân kỳ hạn 12 tháng (+)3,5%/năm. Lãi suất trong kỳ là 9%.","Hình thức đảm bảo > - Tài sản gắn liền với đất tại 92/2/20 Kinh Dương Vương, phường 12, quận 6, TP HCM- Toàn bộ tài sản hình thành từ phương án đầu tư mở rộng kho thành phẩm và mái vòm tại địa điểm khu vực 7, phường Bùi Thị Xuân, thành phố Quy Nhơn, tỉnh Bình Định- Hàng hóa luân chuyển trong quá trình sản xuất, kinh doanh, các khoản phải thu hình thành từ các hợp đồng vay vốn với ngân hàng, một số xe cổ và 05 lò sấy hơi nước kiểu nằm công suất 1500kg/hơi/h.",numeric__Số cuối năm(VND) > 3.308.952.078,numeric__Kỳ hạn trả gốc và lãi > Thời hạn cho vay 60 tháng kể từ ngày giải ngân vốn lần đầu là ngày 9 tháng 3 năm 2021. Lãi vay trả hàng tháng.,"numeric__Lãi suất > Lãi suất huy động tiết kiệm VND cá nhân kỳ hạn 12 tháng (+)3,5%/năm. Lãi suất trong kỳ là 9%.","numeric__Hình thức đảm bảo > - Tài sản gắn liền với đất tại 92/2/20 Kinh Dương Vương, phường 12, quận 6, TP HCM- Toàn bộ tài sản hình thành từ phương án đầu tư mở rộng kho thành phẩm và mái vòm tại địa điểm khu vực 7, phường Bùi Thị Xuân, thành phố Quy Nhơn, tỉnh Bình Định- Hàng hóa luân chuyển trong quá trình sản xuất, kinh doanh, các khoản phải thu hình thành từ các hợp đồng vay vốn với ngân hàng, một số xe cổ và 05 lò sấy hơi nước kiểu nằm công suất 1500kg/hơi/h."
Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,Trong đó: Vay dài hạn đến hạn trả,1.560.000.000,,,,1560000000.0,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,6.247.952.078,,,,6247952078.0,,,
Trong đó:,Trong đó:,Trong đó:,,,,,,,,
- Vay dài hạn,Trong đó: > - Vay dài hạn,- Vay dài hạn,4.687.952.078,,,,4687952078.0,,,
- Vay dài hạn đến hạn trả,Trong đó: > - Vay dài hạn đến hạn trả,- Vay dài hạn đến hạn trả,1.560.000.000,,,,1560000000.0,,,
