row_label_raw,row_label_full,col_0,Công ty TNHHSản xuất Nguyễn liệu Giấy Việt Nhật Cái Lân,Công ty TNHHSản xuất Nguyễn liệu Giấy Việt Nhật Vũng Áng,Công ty TNHHPviệt Thành Thái,Công ty TNHH Năng lượng tái tạo Uni-Vinafor Châu Đức,Công ty TNHHYamaha Motor,Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành,Tổng cộng,numeric__Công ty TNHHSản xuất Nguyễn liệu Giấy Việt Nhật Cái Lân,numeric__Công ty TNHHSản xuất Nguyễn liệu Giấy Việt Nhật Vũng Áng,numeric__Công ty TNHHPviệt Thành Thái,numeric__Công ty TNHH Năng lượng tái tạo Uni-Vinafor Châu Đức,numeric__Công ty TNHHYamaha Motor,numeric__Công ty Cổ phần Nguyên liệu giấy và gỗ Tân Thành,numeric__Tổng cộng
Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,Giá trị đầu tư:,,,,,,,
Số đầu năm,Giá trị đầu tư: > Số đầu năm,Số đầu năm,26.139.084.964,12.401.394.337,44.899.768.758,28.716.709.000,226.814.236.519,903.000.000,426.253.758.031,26139084964.0,12401394337.0,44899768758.0,28716709000.0,226814236519.0,903000000.0,426253758031.0
Biến động trong năm,Giá trị đầu tư: > Biến động trong năm,Biến động trong năm,-,-,-,-,-,-,(118.316.077),,,,,,,-118316077.0
Số cuối năm,Giá trị đầu tư: > Số cuối năm,Số cuối năm,26.139.084.964,12.401.394.337,44.899.768.758,28.716.709.000,226.814.236.519,903.000.000,426.135.441.954,26139084964.0,12401394337.0,44899768758.0,28716709000.0,226814236519.0,903000000.0,426135441954.0
Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết:,,,,,,,
Số đầu năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số đầu năm,Số đầu năm,48.454.076.055,15.658.300.929,4.313.655.985,(463.599.116),774.317.726.788,-,876.711.505.791,48454076055.0,15658300929.0,4313655985.0,-463599116.0,774317726788.0,,876711505791.0
Biến động trong năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Biến động trong năm,Biến động trong năm,(8.671.916.057),4.434.049.755,(2.433.270.556),(818.269.310),(47.522.234.290),-,(53.362.654.881),-8671916057.0,4434049755.0,-2433270556.0,-818269310.0,-47522234290.0,,-53362654881.0
Số cuối năm,Phần lũy kế lợi nhuận/(lỗ) sau khi mua công ty liên kết: > Số cuối năm,Số cuối năm,39.782.159.998,20.092.350.684,1.880.385.429,(1.281.868.426),726.795.492.498,-,823.348.850.910,39782159998.0,20092350684.0,1880385429.0,-1281868426.0,726795492498.0,,823348850910.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,74.593.161.019,28.059.695.266,49.213.424.743,28.253.109.884,1.001.131.963.307,903.000.000,1.302.965.263.822,74593161019.0,28059695266.0,49213424743.0,28253109884.0,1001131963307.0,903000000.0,1302965263822.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,65.921.244.962,32.493.745.021,46.780.154.187,27.434.840.574,953.609.729.017,903.000.000,1.249.484.292.864,65921244962.0,32493745021.0,46780154187.0,27434840574.0,953609729017.0,903000000.0,1249484292864.0
