row_label_raw,row_label_full,col_0,Năm nay,Đơn vị tính: VNDNăm trước,numeric__Năm nay,numeric__Đơn vị tính: VNDNăm trước
Tổng doanh thu,Tổng doanh thu,Tổng doanh thu,1.690.371.543.857,1.949.733.580.783,1690371543857.0,1949733580783.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu từ kinh doanh thương mại gỗ,Trong đó: > Doanh thu từ kinh doanh thương mại gỗ,Doanh thu từ kinh doanh thương mại gỗ,738.507.119.821,916.457.223.782,738507119821.0,916457223782.0
Doanh thu từ bán thành phẩm sân xuất từ gỗ,Trong đó: > Doanh thu từ bán thành phẩm sân xuất từ gỗ,Doanh thu từ bán thành phẩm sân xuất từ gỗ,440.878.239.547,716.110.066.439,440878239547.0,716110066439.0
Doanh thu từ hoạt động khai thác rừng trồng,Trong đó: > Doanh thu từ hoạt động khai thác rừng trồng,Doanh thu từ hoạt động khai thác rừng trồng,105.532.490.940,98.640.371.469,105532490940.0,98640371469.0
Doanh thu từ dịch vụ,Trong đó: > Doanh thu từ dịch vụ,Doanh thu từ dịch vụ,118.019.851.116,126.507.355.059,118019851116.0,126507355059.0
Doanh thu từ chuyển nhượng bất động sản,Trong đó: > Doanh thu từ chuyển nhượng bất động sản,Doanh thu từ chuyển nhượng bất động sản,203.600.967.360,-,203600967360.0,
Doanh thu khác,Trong đó: > Doanh thu khác,Doanh thu khác,83.832.875.073,92.018.564.034,83832875073.0,92018564034.0
Các khoản giảm trừ doanh thu,Trong đó: > Các khoản giảm trừ doanh thu,Các khoản giảm trừ doanh thu,5.175.820.384,2.417.538.053,5175820384.0,2417538053.0
Hàng bán bị trả lại,Trong đó: > Hàng bán bị trả lại,Hàng bán bị trả lại,-,114.891.819,,114891819.0
Giảm giả hàng bán,Trong đó: > Giảm giả hàng bán,Giảm giả hàng bán,5.175.820.384,2.302.646.234,5175820384.0,2302646234.0
Doanh thu thuần,Trong đó: > Doanh thu thuần,Doanh thu thuần,1.685.195.723.473,1.947.316.042.730,1685195723473.0,1947316042730.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Doanh thu với các bên khác,Trong đó: > Doanh thu với các bên khác,Doanh thu với các bên khác,1.252.654.155.598,1.416.689.492.532,1252654155598.0,1416689492532.0
Doanh thu với các bên liên quan(Thuyết minh số 33),Trong đó: > Doanh thu với các bên liên quan(Thuyết minh số 33),Doanh thu với các bên liên quan(Thuyết minh số 33),432.541.567.875,530.626.550.198,432541567875.0,530626550198.0
