row_label_raw,row_label_full,col_0,Quyền sử dụng đất,Phần mềm máy tính,Tài sản cố định vô hình khác,Đơn vị tính: VND Tổng cộng,numeric__Quyền sử dụng đất,numeric__Phần mềm máy tính,numeric__Tài sản cố định vô hình khác,numeric__Đơn vị tính: VND Tổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,28.926.664.278,1.606.883.818,22.899.451.182,53.432.999.278,28926664278.0,1606883818.0,22899451182.0,53432999278.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,28.926.664.278,1.606.883.818,22.899.451.182,53.432.999.278,28926664278.0,1606883818.0,22899451182.0,53432999278.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,,
Đã hao mòn hết,Trong đó: > Đã hao mòn hết,Đã hao mòn hết,502.351.822,1.462.900.000,20.177.251.983,22.142.503.805,502351822.0,1462900000.0,20177251983.0,22142503805.0
Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,Giá trị hao mòn lũy kế:,,,,
Số đầu năm,Giá trị hao mòn lũy kế: > Số đầu năm,Số đầu năm,6.437.577.716,1.494.650.971,21.971.495.755,29.903.724.442,6437577716.0,1494650971.0,21971495755.0,29903724442.0
- Hao mòn trong năm,Giá trị hao mòn lũy kế: > - Hao mòn trong năm,- Hao mòn trong năm,558.909.864,34.085.892,99.953.060,692.948.816,558909864.0,34085892.0,99953060.0,692948816.0
Số cuối năm,Giá trị hao mòn lũy kế: > Số cuối năm,Số cuối năm,6.996.487.580,1.528.736.863,22.071.448.815,30.596.673.258,6996487580.0,1528736863.0,22071448815.0,30596673258.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,22.489.086.562,112.232.847,927.955.427,23.529.274.836,22489086562.0,112232847.0,927955427.0,23529274836.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,21.930.176.698,78.146.955,828.002.367,22.836.326.020,21930176698.0,78146955.0,828002367.0,22836326020.0
