row_label_raw,row_label_full,col_0,Hoạt động khai thác trồng rừng,Kinh doanh thương mại gỗ,Bán thành phẩm sản xuất từ gỗ,Doanh thu cung cấp dịch vụ,Hoạt động kinh doanh bất động sản,Khác,Loại trừ,Tổng cộng,numeric__Hoạt động khai thác trồng rừng,numeric__Kinh doanh thương mại gỗ,numeric__Bán thành phẩm sản xuất từ gỗ,numeric__Doanh thu cung cấp dịch vụ,numeric__Hoạt động kinh doanh bất động sản,numeric__Khác,numeric__Loại trừ,numeric__Tổng cộng
Thu nhập thuế TNDN hoãn lại,Kết quả > Thu nhập thuế TNDN hoãn lại,Thu nhập thuế TNDN hoãn lại,,,,,,,,(2.394.937.037),,,,,,,,-2394937037.0
Lợi nhuận thuần sau thuế,Kết quả > Lợi nhuận thuần sau thuế,Lợi nhuận thuần sau thuế,,,,,,,,275.824.169.068,,,,,,,,275824169068.0
Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,Tài sản và công nợ,,,,,,,,
Tài sản bộ phận,Tài sản và công nợ > Tài sản bộ phận,Tài sản bộ phận,816.598.714.487,69.800.902.829,235.224.848.692,168.407.626.125,12.606.392.014,38.806.040.516,-,1.341.444.524.663,816598714487.0,69800902829.0,235224848692.0,168407626125.0,12606392014.0,38806040516.0,,1341444524663.0
Tài sản không phân bổ (ii),Tài sản và công nợ > Tài sản không phân bổ (ii),Tài sản không phân bổ (ii),,,,,,,,4.133.708.449.811,,,,,,,,4133708449811.0
Tổng tài sản,Tài sản và công nợ > Tổng tài sản,Tổng tài sản,,,,,,,,5.475.152.974.474,,,,,,,,5475152974474.0
Nợ phải trả bộ phận,Tài sản và công nợ > Nợ phải trả bộ phận,Nợ phải trả bộ phận,229.914.126.425,13.775.549.917,78.880.268.621,8.205.261.697,4.772.186.511,21.423.537.644,-,356.970.930.815,229914126425.0,13775549917.0,78880268621.0,8205261697.0,4772186511.0,21423537644.0,,356970930815.0
Nợ phải trả không phân bổ (iii),Tài sản và công nợ > Nợ phải trả không phân bổ (iii),Nợ phải trả không phân bổ (iii),,,,,,,,137.802.219.580,,,,,,,,137802219580.0
Tổng nợ phải trả,Tài sản và công nợ > Tổng nợ phải trả,Tổng nợ phải trả,,,,,,,,494.773.150.395,,,,,,,,494773150395.0
Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,Các thông tin bộ phận khác,,,,,,,,
Chi phí hình thành tải sản cố định,Chi phí hình thành tải sản cố định,Chi phí hình thành tải sản cố định,,,,,,,,,,,,,,,,
Tài sản cố định hữu hình,Chi phí hình thành tải sản cố định > Tài sản cố định hữu hình,Tài sản cố định hữu hình,5.348.966.643,3.418.087.272,91.043.636,-,-,352.406.301,-,9.210.503.852,5348966643.0,3418087272.0,91043636.0,,,352406301.0,,9210503852.0
Khấu hao,Chi phí hình thành tải sản cố định > Khấu hao,Khấu hao,9.036.172.899,7.851.606.414,7.142.698.864,18.530.036.141,-,1.752.271.125,-,44.312.785.443,9036172899.0,7851606414.0,7142698864.0,18530036141.0,,1752271125.0,,44312785443.0
